l,l,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,i,l,i,w,r,n,n,a,d,f,a,b,r
1979.7,2194.2,2438,2590.4,2830,2984.8,3127.8,3225.5,3369.1,3529.1,3709.4,3822.7,3928.1,4022,4102.3,4202.2,4272.8,4386.7,4754.2,4925.8,5025.7,5172.2,5338,5514.3,5628.9,5734.5,5829.7,5909.6,6011.7,6082,6199,6732.1,7277.1,7464.6,7928.2,8097.1,8194.5,8339.8,8508.7,8689.6,8806.5,8912.7,9007.2,9088.4,9191.4,9262.8,9377.2
2014.9,2230.2,2471.8,2636.2,2863.5,3028.8,3163.4,3280.4,3474.2,3598.9,3780.1,3892.7,3988,4075.3,4153.8,4258.5,4326.8,4460.5,4800.5,4963.1,5086.2,5281.9,5417,5587.5,5696.8,5793.8,5882.1,5962.6,6069,6133.8,6273.5,6774.6,7308.3,7512,7975.3,8134.2,8253.9,8450.5,8581.2,8760.6,8875.2,8973.9,9062.4,9143,9252.5,9320,9452.8
