l,i,l,i,l,i,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1983.6,2161.5,2453.8,2578.8,2813,2935.9,3280.9,3454.9,3547.9,3679.1,3849.3,4012.7,4124.2,4228.5,4322.2,4403.1,4504.1,4573.8,4687.2,4857.4,4974.3,5079.8,5175.5,5256.6,5357.1,5426.7,5540.5,5737.9,5850.3,5959.1,6053.5,6135.8,6237.8,6309.5,6422.5,6626.6,6746.1,6853.6,6947.9,7028.7,7131,7200.8,7318.1,7696.8,7886,7979.6,8119.8,8295.2,8467.7,8588.9,8694.9,8790.4,8871.7,8974.1,9046.1,9159.8
2013.9,2207.6,2487.4,2627.6,2843.1,2982.8,3329.2,3486.6,3614,3796.7,3927.9,4082,4191.7,4287.9,4376.3,4458.8,4563.6,4627.8,4766.2,4926.5,5041.8,5140.8,5231.5,5309.4,5414.9,5480.8,5614.2,5806,5919.7,6018,6109,6190.2,6295.1,6360,6504.5,6698.7,6814.2,6913.3,7000.1,7081.1,7187.1,7254.7,7394.1,7742.8,7923.8,8037.3,8240,8374.2,8539,8658,8757.5,8845.6,8928.3,9032.6,9099.9,9235.9
