l,l,l,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i
1978.1,2191.8,2395.6,2546.2,2708.1,2972.9,3121.1,3400.1,3561.2,3772.1,3909.9,4124.9,4252.8,4480,4617.8,4871.7,5009.9,5292.9,5446.8,5862.7,6018.8,6204.6,6348.2,6556.6,6656.6,6809.9,6983.8,7164.2,7283.7,7395.1,7492.2,7574.4,7679.4,7751.2,7870,8414.9,8578.8,8679.8,8821.2,9007.7,9188,9309.2,9422,9520.5,9603.2,9708.4,9781.9,9899.5,10392,10566,10667,10809,10996,11161,11280,11392,11490,11574,11681,11754,11874,12470,12593,12899,13020,13226,13341,13477,13664,13834,13953,14065,14163,14247,14354,14428,14546,14730,14854,14966,15064,15149,15259,15332,15451,15950,16070
2010.3,2226.8,2431.2,2583,2756.4,3008.9,3168.5,3437.4,3608,3809,3957.8,4161.5,4301.5,4520.2,4670.2,4910,5059.9,5328.6,5501.4,5899.1,6066.6,6243.8,6400.3,6593.6,6718.8,6923.5,7059.3,7237.4,7355,7458.1,7546.6,7629.5,7737.9,7808.3,7947.8,8465.9,8616.8,8740.7,8950.4,9085.8,9259.7,9381.4,9482.7,9576.7,9659.5,9769,9837,9974.9,10442,10604,10729,10933,11071,11236,11351,11453,11546,11628,11745,11808,11955,12503,12642,12935,13068,13264,13402,13604,13740,13908,14027,14126,14219,14304,14418,14484,14627,14808,14930,15029,15120,15201,15318,15386,15531,15988,16123
