i,l,w,r,n,n,a,d,f,a,b,r,i,l,w,r,n,n,a,d,f,a,b,r,f,l,i,w,r,n,n,a,d,f,a,b,r,i,l,w
1275.8,1435.7,1678.5,1849.2,1996.1,2117,2223.2,2321.8,2403.6,2507.2,2578.1,2694.5,3090.8,3266.2,3520.3,3687.3,3866.3,3984.6,4094.2,4192,4274.5,4376,4448.7,4567.5,4974,5150.8,5246.5,5391,5567.4,5740.9,5858.9,5965.3,6063.3,6146.3,6249.4,6321.4,6438.2,6902.7,7095.1,7341.9
1316.9,1466.5,1786.9,1921.8,2066.5,2186.9,2283.5,2375.6,2454.8,2562.1,2630.3,2768.6,3135.3,3301.5,3622.8,3757.8,3938.3,4053.4,4155.4,4243.8,4322.6,4430.7,4497.4,4637.1,5021.4,5187.2,5304.1,5509.2,5640.2,5813.7,5931.1,6026.3,6117.2,6200.2,6305.5,6374.5,6514.9,6945.1,7128.5,7459.8
