l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r
3560.9,3787.5,4004,4141.2,4332.6,4470.3,4652.9,4764.3,4895.7,5073.5,5254.7,5371.3,5479.2,5574.9,5655.6,5760.2,5830.8,5946.3,6148.3,6263.7,6373.5,6470.8,6553.4,6655.9,6726.8,6844.6,7286.2,7454.8,7552.1,7693.2,7863.5,8039.1,8154,8262.4,8359.6,8440.9,8542.8,8614,8729.3,9050.6,9248.3,9349.8,9486.4,9668.2,9832.3,9948.8,10060,10156,10238,10343,10413,10533,10872,11078,11181,11322,11498,11671,11791,11897,11985,12077,12181,12251,12368,12775,12894,13127,13225,13376,13548,13723,13842,13949,14046,14130,14230,14302,14421
3596.7,3833,4040.1,4189.2,4369.7,4520.8,4688.9,4835.2,5020.7,5153,5330.6,5440.9,5539.1,5628.5,5711.3,5817.1,5883.8,6022.4,6217,6335.8,6433.9,6525.4,6606.3,6713.2,6781.4,6919.4,7332.9,7492,7611.4,7808.8,7940,8110.4,8226.1,8323.1,8412.8,8496.6,8601,8668.1,8805.6,9095.9,9287.1,9417,9613.3,9746.8,9905.6,10022,10122,10211,10294,10401,10469,10611,10917,11115,11243,11442,11576,11743,11862,11958,12050,12129,12239,12304,12444,12811,12946,13165,13288,13485,13621,13800,13911,14010,14098,14178,14288,14401,14498
