l,l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1985.6,2182.1,2348.6,2521.1,2857.2,3035.1,3289.1,3434.7,3698.4,3864,4059.3,4213.4,4441.2,4562.1,4700.6,4883.8,5084.9,5200,5310.2,5408.4,5491.6,5598.2,5667.8,5786.8,6396.3,6603.4,6740.2,6885.8,6989.2,7143.5,7317.1,7483.8,7606.5,7716.9,7814,7897.1,8002.2,8074.6,8194.2,8385,8503.4,8614.2,8713.4,8795.9,8904,8977.2,9097.5,9617.3,9749.8,9896,9999.7,10140,10326,10515,10634,10746,10844,10929,11038,11111,11231,11712,11820,11965,12145,12341,12460,12571,12669,12754,12860,12933,13054,13420,13713,13820,13956,14148,14326,14455,14564,14664,14747,14853,14927,15048,15712,15847,16112,16234,16524,16642,16778,16963,17164,17286,17397,17496,17581,17688,17761,17882
2018.3,2219.6,2386.7,2567.9,2891.9,3083.1,3324.1,3483.2,3732.5,3911.3,4096.4,4265.4,4475.7,4623.3,4824.5,4962,5157.2,5270.7,5371.7,5462.9,5549.9,5660.4,5724.8,5863.6,6443.7,6642.7,6789.9,6923.6,7051.6,7254.2,7392.6,7559.5,7679.1,7776.8,7870.6,7949.8,8062.2,8129.4,8276.4,8459.1,8572.6,8675.7,8768.8,8847.1,8962.9,9029.1,9171,9654,9800.1,9934.7,10062,10266,10408,10589,10707,10807,10903,10982,11100,11166,11309,11748,11879,12089,12227,12415,12531,12632,12725,12805,12920,12990,13132,13469,13752,13881,14085,14224,14402,14525,14625,14719,14802,14917,14982,15128,15749,15898,16151,16284,16563,16700,16903,17041,17237,17358,17458,17552,17633,17751,17818,17959
