l,i,w,r,n,n,a,d,f,a,b,r
1241.8,1370.3,1809,1974.2,2158.7,2276.9,2384.2,2481.4,2563.9,2668.9,2741,2858.2
1272.7,1416.1,1914.7,2046.6,2229.4,2346.2,2444.5,2535.5,2613.2,2723.8,2796.3,2935.5
