l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,i,l,i,w,r,n,n,a,d,f,a,b,r
1989.2,2180.7,2395.8,2537.7,2797.9,2922.7,3133.2,3270.7,3525.2,3672.2,3892.7,3993.3,4125.4,4303.9,4486.5,4598.9,4706,4800.6,4881.7,4981.7,5052.3,5165.1,5471.4,5750.8,5863.3,5994.9,6179.2,6533.5,6820.1,6924.6,7074.7,7234.2,7418,7534,7642,7737.4,7820.1,7919.7,7991.2,8107.1
2022.4,2225.7,2429.4,2586.1,2833.5,2972.1,3170.8,3314.7,3564.9,3722.5,3931.7,4058.5,4249.1,4382.8,4553.6,4668.3,4765.2,4853.7,4936.3,5038.5,5106,5245.6,5518.7,5785.2,5922.2,6122.8,6255.7,6581.9,6854.9,6996.7,7179.7,7314.2,7490.7,7604.8,7701.9,7789.5,7868.6,7977.8,8045.6,8183.2
