l,l,l,i,l,i,l,i,l,i,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,l,i,l,i,l,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r
1985.3,2125.6,2296,2515.9,3065.4,3197.6,3372.2,3524.3,3720.1,3856.5,4056.9,4183.6,4401.5,4516,4665.2,4822.8,5004.6,5116.9,5224.3,5294.5,5407.4,5588.1,5703.8,5809.9,5906,5987.7,6088.8,6159.1,6274.6,6439.9,6553.2,6663.1,6758,6840.7,6943.8,7014.6,7130.2,8071.6,8201,8388.8,8506.2,8644.5,8817.3,9008.9,9123.7,9229.8,9300.2,9414.4,9599.3,9715.8,9823.8,9918.5,10001,10102,10173,10290,10438,10556,10665,10761,10842,10945,11017,11136,11668,11781,11932,12106,12273,12388,12496,12593,12675,12777,12849,12968,13501,13602,13756,13925,14108,14224,14334,14430,14514,14616,14688,14807,15004,15128,15237,15335,15418,15522,15594,15711,15962,16122,16732,16852,17028,17147,17303,17400,17553,17715,17898,18015,18126,18221,18305,18408,18480,18596,18811,18933,19042,19141,19225,19330,19402,19522
2021.3,2161.9,2332.8,2557.8,3101.2,3243,3405.9,3570.9,3754,3905,4089.2,4231,4435.3,4573,4764.1,4895.5,5076.9,5187.3,5283.8,5350.2,5488,5660.2,5775.8,5866.7,5956.2,6038.1,6142.8,6215.1,6350.2,6512.7,6624.2,6722.8,6811.9,6895.2,7000.9,7067.8,7204.5,8107,8246.8,8427.4,8560.6,8763.7,8892.2,9081.8,9195.5,9288,9356.7,9495.4,9671.3,9786.2,9882.5,9970.1,10051,10158,10221,10361,10510,10627,10725,10814,10895,11001,11068,11207,11704,11837,12048,12185,12345,12459,12556,12647,12727,12834,12900,13042,13536,13663,13868,14006,14182,14298,14394,14484,14566,14673,14736,14881,15076,15198,15298,15390,15470,15579,15647,15788,15997,16172,16767,16897,17067,17203,17339,17461,17655,17786,17972,18089,18184,18273,18353,18465,18530,18669,18885,19003,19102,19193,19274,19386,19448,19594
