i,l,i,i,w,r,n,n,a,d,f,a,b,r,l,i,i,l,i,w,r
1004.8,1203,1319.3,1661.8,1814.3,1986.2,2167.4,2283.8,2394,2492.2,2575.8,2679.6,2751.6,2871.3,3169.8,3328.4,3688.9,3857.3,3968.8,4115.7,4297.2
1047.7,1234.8,1364.9,1714.7,1918.2,2054.2,2238.9,2355.2,2455.5,2548,2626.2,2735.1,2805.8,2943.5,3203.8,3371.4,3734.7,3894.9,4025.3,4239.4,4368.6
