i,l,i,l,i,l,i,l,w,r,n,n,a,a,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,f,a,b,r,l,i,l,i,w,r,n,n,a,d,f,a,b,r
1088.4,1311,1457.3,1647.2,1777.7,1990.6,2113.3,2294.5,2539.8,2699.2,2891.8,3011,3116.8,3196.5,3313,3665.2,3849.8,3951.9,4094.1,4270.8,4454.3,4572.6,4681.5,4777.4,4859.7,4963.8,5035.7,5151.1,5398.5,5515.8,5624,5720.6,5803.1,5906.2,5977.1,6094,6324.4,6443,6550.3,6649.2,6732.7,6843.2,6909.6,7027.8,7456,7633.3,7745.6,7898.7,8061,8232.2,8349.9,8459.5,8556.2,8638.5,8742.8,8814.2,8934.7,9563.1,9713.2,9811.2,9884.5,9999.5,10776,10904,11099,11204,11359,11522,11709,11826,11933,12028,12114,12216,12291,12407
1132.9,1342.3,1500.7,1679.4,1822.2,2024.4,2158.9,2328,2644.7,2775.9,2961.3,3080.3,3173.9,3244.8,3378.9,3709.7,3881.7,4010.5,4209.9,4338.3,4524.9,4640.3,4740.2,4829.6,4912.8,5019.7,5084.2,5225.1,5469,5585.2,5683.9,5772.8,5856.9,5961.8,6031,6173.2,6395.6,6513.3,6609.8,6701.5,6782,6889.4,6957.4,7099.4,7500.5,7669.4,7802.8,8004.9,8132.6,8303.3,8420,8517,8607.4,8688,8797.9,8862.8,9004.8,9616.1,9763.7,9867.8,9937,10073,10809,10950,11132,11261,11467,11595,11781,11897,11991,12078,12165,12273,12339,12479
