l,i,l,i,l,i,l,l,i,l,i,l,i,w,r,n,n,a,i,f,a,b,r
380.55,542.75,798.2,938.1,1113.8,1258.3,1467.8,1992.5,2124.1,2351.2,2551.8,2702.5,2799.3,2953.3,3112.8,3300.6,3419.2,3525.3,3623,3706.3,3807.2,3878.9,3993.4
425.16,601.54,844.83,976.62,1144.8,1297.2,1499.9,2027,2166.7,2384.6,2589.2,2734.2,2868.2,3057.1,3179,3367.1,3485.5,3582.9,3673.3,3751.6,3862.3,3920.8,4062.6
