i,l,i,w,r,n,n,a,d,f,a,b,r
1364.1,1534.5,1622.5,1783,1951.2,2132,2249.5,2357.2,2453.4,2537.3,2639.5,2713.9,2831.6
1405.7,1564.7,1692.2,1885.9,2019.9,2202.7,2320,2417.4,2507.6,2586.3,2693.8,2760.2,2903.6
