l,i,i,l,i,l,i,f,a,b,r,n,n,a,b,r,n,n,a,d,f,a,b,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,n,n,a,b,r,i,l,i,w,r,n,n,a,d,f,a,b,r,i,l,i,w,r,n,n,a,b,r,n,n,a,d,f,a,b,r,i,f,a,b,r,n,n,a,d,f,a,b,r
1975.9,2146.3,2515.8,2668.4,2797.1,3033.7,3136.9,3281.7,3378.5,3448.3,3561.2,3763.8,3874.8,3986.9,4057.7,4170,4349.2,4462,4567.5,4664,4743.4,4844.7,4915.2,5030.4,5242.1,5356.5,5466.2,5560.3,5641.5,5742.7,5813.9,5931.6,6270.2,6436.7,6530.3,6681.3,6849,7010.6,7129.4,7238.9,7334.4,7416.1,7518,7588.4,7706.7,7898.6,8014.3,8108.4,8192,8308.5,8605.3,8780.5,8874.4,9027.3,9188.9,9361.4,9481.9,9588.8,9685.2,9767.6,9871,9941.2,10058,10447,10643,10743,10876,11059,11228,11347,11455,11533,11643,11822,11946,12054,12150,12234,12336,12407,12524,13105,13583,13681,13753,13870,14068,14189,14299,14395,14479,14582,14654,14773
2007,2189,2560.2,2698.9,2841.4,3064.1,3198,3335.9,3435.5,3501.1,3636.8,3836.8,3949.8,4042.8,4109.9,4250.7,4420.9,4533,4626.6,4715.4,4798.1,4899.6,4968.8,5106.1,5310.4,5426.9,5524.5,5613.7,5695.7,5798.5,5867.2,6009.5,6313.9,6473.6,6588.3,6791.5,6920.4,7085.1,7199.1,7294.2,7386.6,7466.8,7572.4,7639.1,7779.2,7970.8,8086.4,8176.6,8244.9,8387,8649,8815.8,8933.4,9132.6,9263,9436.3,9556.1,9647.4,9739.7,9817.8,9928.3,9997.4,10131,10493,10677,10802,11000,11133,11300,11419,11512,11580,11718,11893,12016,12115,12206,12286,12394,12459,12598,13149,13635,13737,13806,13946,14142,14259,14360,14451,14530,14637,14705,14847
