i,l,i,w,r,n,n,a,d,f,a,b,r
1383.5,1559.8,1657.6,1808,1981.2,2140.9,2260.8,2368.6,2465.3,2548.7,2652.3,2723,2845.2
1428.4,1590.4,1713.5,1920,2049.8,2214.7,2328.5,2427.9,2518.9,2598.6,2708,2777.7,2914.1
