i,i,r,r,r,r,l,l,r,i,r,r,l,r,n,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,i,i,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b
1700.2,1992.1,2179.5,2385,2574.9,2781.8,2962.9,3131.3,3324.4,3518.2,3666.5,3838.5,3990.3,4103.2,4283.3,4416.8,4541.1,4679,4748,4895.1,5063.1,5129.1,5255.4,5323.2,5477.9,5564.4,5675.8,5819,5933.2,6004.2,6143.4,6313.2,6456.8,6589.5,6659.5,6830.4,6915.6,7028.2,7163,7290.6,7361.7,7505.3,7678.5,7819.8,7959.1,8029.5,8169.6,8341.2,8407.1,8528,8597.2,8779.8,8869.8,8980.3,9117.6,9239.9,9310.8,9447.7,9619.3,9756.7,9886.9,10014,10086,10222,10396,10465,10582,10652,10807,10895,11010,11148,11274,11345,11487,11677,11862,12037,12205,12366,12507,12626,12762,12885,12959,13103,13274,13411,13547,13694,13749,13913,14095,14287,14437,14558,14691,14817,14892
1736.4,2025.5,2233.3,2437.7,2632.8,2841.2,3024,3194.9,3365.7,3557.2,3725.2,3895.2,4042.5,4168.6,4349.5,4486.4,4609.5,4725.3,4800,4957.5,5101,5165.9,5301.2,5373.6,5515.4,5609.9,5778.7,5901.4,5981.5,6052.3,6207,6386.8,6527.9,6637.8,6712.7,6867,6962.1,7127.8,7268.6,7339.3,7406.2,7569.8,7747.8,7893.8,8007.8,8081.5,8236.9,8368.1,8448,8577.3,8645.8,8817.2,8922.1,9088.5,9210.9,9290.7,9360.7,9514.8,9691.3,9826.8,9956.8,10066,10138,10290,10435,10510,10632,10706,10844,10947,11109,11240,11324,11393,11552,11724,11909,12073,12243,12412,12566,12728,12853,12939,13004,13171,13347,13486,13618,13729,13799,13987,14153,14325,14489,14658,14792,14868,14937
