i,i,r,r,r,r,r,e,a,b,r,n,n,a,b,r,l,i,r,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,l,i,r,e,a,b,r,l,r,e,e,e,a,b,r,n,n,a,b,r,l,i,r,e,a,b
1701.6,1993.9,2157.6,2342.3,2509.7,2686.3,2867.1,2991.2,3121.6,3197.9,3335.6,3515.6,3655.3,3793.3,3871.1,4020.3,4208.2,4379.3,4502.8,4622.4,4746,4824.1,4966.5,5134.3,5270.9,5401.7,5481,5619.8,5802.4,5943.4,6079.8,6155.3,6293,6470,6645.6,6777.5,6905.8,7043.6,7169.8,7244.7,7392.4,7571.7,7710.2,7840.8,7919.6,8081.4,8260.3,8412.9,8572.6,8669.5,8789.8,8936.6,9055.5,9134.4,9290.7,9463.2,9595.4,9730.2,9859.1,9937.2,10100,10298,10490,10627,10750,10894,11015,11095,11279,11499,11669,11817,11947,12081,12156,12297,12473,12607,12729,12867,13007,13122,13203,13356,13536,13674,13805,13885,14018,14225,14408,14555,14682,14810,14892
1745.4,2043.5,2219.1,2407.9,2574.2,2751.1,2932.3,3094.3,3181.4,3256.8,3424.3,3592.3,3733.2,3854.6,3930.1,4101.1,4272.7,4421.7,4559.3,4729.8,4810.6,4884,5043.8,5209,5349.7,5472,5543.3,5703.2,5876.2,6018,6139.1,6217.3,6371.2,6534.1,6691.8,6844.2,7008.1,7149.5,7229,7301.3,7469.7,7649.1,7783.6,7903.4,7981.5,8156.5,8319.5,8462.8,8626.4,8724.7,8890,9037.6,9120.1,9192,9371.3,9537.8,9670.6,9809.1,9922.5,9997.6,10175,10360,10545,10685,10846,10988,11077,11151,11361,11562,11722,11881,12054,12141,12222,12377,12541,12674,12831,12976,13108,13193,13260,13445,13609,13753,13875,13947,14103,14292,14462,14621,14784,14877,14946
