i,i,l,i,i,r,e,e,a,b,r,n,n,l,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,i,l,e,e,a,b,r,n,n,n,a,b,i,l,e,e,a,b,r
1105.7,1271.3,1432.6,1573.3,1731,1866.9,1982.1,2128.3,2240.2,2310.4,2464.8,2639.9,2778.3,2930.5,3130.5,3290.5,3417,3552.5,3674.6,3744.9,3894.3,4115.9,4286.7,4411.8,4539.4,4609,4753.4,4943.2,5079.4,5217.4,5286.7,5483.4,5570.6,5685.1,5819.7,5953.1,6023.5,6167.4,6353.6,6495.6,6624.6,6695.8,6845.7,7060.5,7251.9,7416.5,7544,7661.3,7796.8,7917.4,7990.3,8137.6,8317.7,8463.2,8592,8662.8,8806.1,9112,9283.5,9468.5,9600.8,9723.9,9794.5,9972.2,10147,10309,10443,10571,10642,10826,10918,11032,11166,11290,11364,11510
1142.5,1299.3,1459.2,1610.6,1761.3,1914.4,2089.4,2216.4,2286.5,2357.4,2513.8,2708.6,2846,2992.6,3167.3,3342.4,3520.8,3646.6,3727.3,3791.2,3956.5,4184.1,4382.2,4514.4,4591.9,4660.5,4804.8,5012.4,5150.4,5266.8,5335.4,5509.5,5619.9,5788.5,5909.5,6002.6,6072.7,6233.4,6423,6566,6676.1,6744,6899.7,7114.3,7289.5,7455.8,7595.9,7758.1,7888.6,7965.5,8032.8,8186.9,8381.5,8532.5,8642.7,8706.5,8866.9,9155.5,9341.3,9567.2,9696.7,9774,9845,10037,10216,10384,10518,10624,10688,10855,10960,11137,11263,11339,11408,11571
