i,r,i,r,l,i,i,i,i,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,l,i,l,r,e,e,a,b,r,n,n,n,a,b,l,r,e,e,a,b
1341.5,1540.5,1801,1980.6,2157.2,2326.1,2508.6,2676.6,2835.6,2995.2,3114.8,3240.3,3366.6,3488.2,3557.6,3730.6,3911.7,4064.8,4198.7,4321.8,4392.5,4536.6,4718.4,4856.6,4978.8,5053.1,5198.3,5372.7,5438.2,5562.2,5631.1,5790.5,5882,5995.9,6133.5,6257.3,6327.9,6499.2,6671.6,6828.8,6962.7,7101.9,7171.3,7313.4,7491.4,7678.6,7837.1,7960.8,8093.6,8214.9,8288,8440.3,8615.2,8759.9,8893.1,8963.7,9098.5,9280.2,9465.8,9613.7,9733.9,9870,9995.5,10065,10218,10395,10541,10670,10743,10939,11025,11138,11273,11396,11468,11600,11782,11972,12142,12234,12348,12483,12608,12680,12841,13033,13174,13310,13455,13525,13708,13798,13912,14046,14171,14244
1374,1593.3,1833.3,2035.7,2215.1,2361.8,2543.8,2702,2871.1,3035,3173,3337.1,3460.3,3533.8,3606.7,3800.6,3980.2,4165.3,4290.2,4368.1,4442.2,4594.1,4789.8,4924.6,5033.4,5109,5261.4,5405.3,5479.7,5609.7,5677.7,5826.9,5927.2,6095.3,6231.7,6307.6,6376.3,6550.9,6740.9,6896.7,7034.5,7150.3,7225.1,7379.5,7549.6,7714,7894.8,8060.5,8189.7,8267.4,8337.5,8500.3,8681.2,8833.7,8940.9,9014.6,9162.2,9337.1,9502.2,9671,9832.4,9970,10046,10117,10282,10468,10610,10722,10794,10978,11073,11241,11369,11444,11510,11663,11839,12011,12175,12284,12438,12581,12659,12732,12906,13107,13247,13381,13504,13575,13746,13845,14012,14149,14221,14289
