i,r,l,i,r,r,l,r,e,a,b,r,n,n,a,b,r,n,n,e,e,a,b,r,i,l,i,r,e,a,b,r,l,n,n,a,b,l,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,l,i,l,i,r,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,i,l,i,i,i,i,r,e,e,a,b,r,n,n,a,b
1983.2,2201.1,2391.7,2583.4,2737.7,2918.3,3082.8,3211.8,3337.8,3462.6,3530.1,3672.4,3849.1,3987.4,4132,4200.8,4348,4526.2,4668.6,4805.6,4940.1,5061.3,5132.2,5281.2,5536.4,5695.8,5879.9,6020.7,6137.4,6269.9,6338.1,6486.8,6528.4,6659.5,6795,6920.4,6990.4,7184.3,7270.8,7385.6,7516.2,7643.2,7713.4,7855.2,8023,8171,8302.7,8423.3,8494.2,8637.1,8835.8,8986.1,9124.9,9194.9,9348.8,9524.4,9697.2,9856.4,10025,10157,10276,10410,10529,10601,10803,10983,11130,11266,11336,11510,11603,11715,11854,11974,12046,12232,12419,12591,12768,12862,12974,13112,13235,13307,13479,13666,13803,13937,14008,14155,14332,14528,14708,14865,15027,15207,15376,15504,15624,15757,15879,15951,16105,16280,16431,16570,16641
2020.5,2246.9,2448.1,2621.3,2789.6,2964.1,3138,3264,3429.9,3511.8,3580.5,3734.3,3915.1,4052.7,4181.5,4253.4,4412.2,4590.8,4733.8,4914.8,5034.5,5113.8,5183.2,5354.9,5572.2,5762.2,5917.9,6078.6,6238.6,6318.2,6387.9,6526,6549.4,6728.3,6861.5,6968.2,7041.2,7222.8,7319.2,7482.8,7610.5,7693.9,7762.2,7885.9,8092.1,8272.9,8402.5,8475.2,8547.6,8705.2,8904.9,9054,9175.8,9245.7,9415.3,9581.2,9739.6,9914.1,10065,10208,10374,10500,10582,10652,10872,11053,11201,11314,11388,11551,11650,11815,11953,12028,12090,12296,12475,12628,12806,12909,13076,13205,13287,13355,13551,13739,13875,13987,14062,14219,14389,14570,14753,14897,15064,15247,15413,15553,15727,15850,15931,16000,16172,16348,16503,16621,16692
