r,r,r,l,r,e,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,l,i,i,r,e,e,e,a,b,n,e,e,a,b,r,l,i,r,l,l,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b
1174.6,1352.8,1535.6,1706.5,1842.7,1997.5,2137.6,2266.7,2385.8,2462,2615,2809.7,2951,3083.3,3155.3,3400.1,3516.4,3640.9,3791.9,3919.6,3992.3,4135.2,4318.4,4459.2,4591.8,4668.9,4797.9,4972,5131.7,5265.8,5387.9,5460.5,5620.1,5794.3,5860.4,5988,6059.9,6203.2,6297.2,6413.8,6556.1,6679.1,6750.5,6911.2,7090.1,7264.6,7423.9,7548.8,7670.9,7809.3,7937.3,8066.9,8141.3,8305.5,8456.9,8599.1,8723.6,8796.4,8957.6,9128.4,9314.1,9452.9,9624.8,9768,9891.6,10082,10226,10365,10497,10570,10707,10881,11038,11173,11300,11374,11536,11717,11844,11974,12112,12190,12348,12443,12559,12701,12825,12901,13077,13252,13399,13535,13613
1228,1412.3,1595.1,1761.6,1898.3,2089.2,2232.1,2364.2,2440.6,2513.8,2674.5,2879.8,3020.6,3133.9,3210.1,3450.2,3575.2,3746.9,3886.4,3971.5,4042.2,4197.1,4386,4532.4,4652.1,4721.9,4867.5,5029.6,5231.9,5361.2,5445.8,5515.3,5697.4,5829.9,5899.3,6042.4,6108.6,6246,6348.8,6519.1,6651,6734.1,6801.8,6982.4,7151.8,7315.5,7465.9,7602.9,7772.1,7903.2,8039.5,8122,8189.7,8372.1,8560.4,8696.2,8776.9,8843.5,9021.9,9189.2,9371.7,9528.6,9683.4,9829.3,9964.1,10148,10296,10439,10552,10615,10780,10939,11145,11279,11356,11423,11608,11792,11914,12047,12173,12247,12392,12498,12655,12800,12880,12953,13148,13324,13471,13596,13665
