r,r,r,r,l,e,e,a,b,r,n,e,e,a,b,r,i,l,i,r,e,e,a,b,r,r,n,n,n,a,e,l,e,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,r,l,l,i,i,r
1108.6,1288.2,1463.4,1634.8,1807.2,1976.5,2115.6,2236.6,2307.8,2476.8,2653.3,2818.3,2956.5,3080.2,3151.8,3304.1,3522,3683.2,3853.6,3995.9,4117.8,4258.1,4380.7,4450.7,4597.8,4635.3,4778.1,4916.1,5052.7,5197.7,5267.3,5294.2,5445,5536.8,5647,5780,5905.3,5976.8,6127.6,6296.7,6442,6575.8,6646,6788.5,6958.4,7021.3,7142.7,7214.8,7346.6,7517.1,7681.3,7850.6,8012.2,8135.2
1160.1,1342.8,1514.6,1688.5,1861.2,2081.6,2210.4,2285.7,2354,2537.8,2717.8,2924.2,3055.1,3131.4,3204.1,3370.6,3559.5,3744.4,3891,4045.7,4217.2,4353.7,4431,4496,4633.8,4663.8,4844.6,4981.4,5123.2,5247.4,5293.1,5317.7,5472.8,5583.5,5748.9,5877.4,5955.7,6021.8,6185.8,6360.4,6508.8,6624.7,6696.5,6855.9,6981.8,7056.8,7194.1,7265.2,7413.3,7573.5,7745.2,7890.2,8049.5,8171.7
