l,i,l,i,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,r,l,e,e,a,b,i,i,l,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x
1023.7,1201.9,1367.4,1554.4,1726.7,1855.5,1973.5,2111.4,2233.8,2306.6,2473.1,2653.5,2799.6,2946.3,3017.7,3193,3285.6,3401.7,3538.3,3663.8,3738.2,3886.5,4058.2,4198,4331.6,4404.2,4528.9,4710,4780.2,4905,4978.3,5132.6,5305.7,5497.2,5630.2,5755.7,5826.9,6209.3,6370.1,6542.4,6722.3,6870.2,6992.6,7130.9,7256.3,7332.5,7500.2,7685.6,7834,7972.8,8045,8269.3,8361.8,8477.5,8618.4,8737.5,8815.4,8978.8,9161.4,9310.5,9454.7,9597.8,9670.3,9816.8,9996.3,10083
1083.5,1238.1,1421.1,1596,1768.1,1911.3,2079.6,2209,2285.7,2351.4,2541.8,2722.2,2871.8,2999.8,3069.2,3238.1,3334,3500.3,3637.2,3720,3785.7,3951.6,4126.8,4267.1,4380.8,4456.8,4602.7,4762.4,4824.4,4958.7,5027.3,5197,5367,5588.8,5731.9,5810.7,5873.3,6253.6,6406.3,6591.3,6755.2,6927,7097.4,7229.1,7310.8,7383.5,7570.7,7756.1,7898.8,8023.7,8095.4,8311.3,8415.7,8586.2,8703.5,8789.8,8865.5,9055.1,9233.3,9385,9524,9650.2,9718.9,9885.1,10056,10123
