r,i,l,i,r,e,e,a,b,r,n,n,a,b,r,l,r,n,e,e,a,b,r,n,n,a,b,r,l,i,l,i,r,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,i,r,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,l,e,e,a,b,i,l,i,i,r,e,e,a,b,r,n,n,n,a,b
1131.5,1363.4,1542.1,1719.8,1859.1,1978.5,2121.1,2238.2,2309,2454.2,2633.7,2775.8,2910.8,2979.1,3138.9,3314.7,3429.4,3615.9,3769.5,3909.3,4030.3,4103,4255.1,4452.4,4594.8,4727.8,4798,4937.6,5109.4,5288,5445.1,5617.5,5763,5886.4,6021.3,6147.5,6218.8,6387.5,6566.1,6705.8,6836.6,6907.3,7050.7,7244.3,7395.8,7533.5,7657.6,7730.4,7904.9,7993.3,8107.7,8240.8,8315.2,8448.8,8642.4,8788.8,8954.4,9024.1,9201.8,9288.3,9401.3,9537.1,9663.8,9736.3,9884.7,10074,10226,10368,10437,10597,10773,10934,11108,11243,11368,11441,11714,11884,12064,12246,12349,12468,12607,12729,12805,12965,13152,13297,13443,13585,13656
1198.3,1398.4,1600.6,1755.6,1916.3,2074,2199.8,2291.1,2361.3,2518.8,2703.4,2843.4,2960.6,3033.9,3207.2,3366,3499.6,3685.5,3868.4,4000.4,4087.2,4155.3,4319.9,4519.8,4664.1,4778.3,4851.5,5004.7,5170.2,5324.2,5507.3,5658,5826.5,5994.3,6120.4,6198.8,6270.2,6456.8,6636.3,6777.4,6889.1,6962.3,7117,7314.5,7468.1,7605,7710.6,7782.1,7944.6,8049.6,8207,8298.1,8362.5,8516.6,8713.6,8861.3,9007.5,9074.2,9241.9,9336.7,9496.3,9634.2,9719.1,9787.3,9949.3,10143,10299,10419,10488,10664,10833,10998,11206,11345,11422,11493,11758,11946,12103,12285,12407,12578,12703,12785,12854,13032,13220,13370,13515,13638,13707
