i,r,r,i,r,r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,l,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b
187.48,353.26,558.42,769.8,925.22,1125.3,1302.7,1497.7,1675.4,1850.6,1982.7,2118.7,2235.8,2307,2496.6,2666.9,2799.9,2937.4,3064.1,3132.8,3271.7,3460.1,3523.8,3652.5,3722,3926.2,4014.7,4130.7,4270.3,4394.8,4467.6,4608.7,4794.4,4936,5066.6,5193.4,5265.3,5410.1,5578.7,5647.4,5782.2,5852.7,6041.1,6128.2,6243.1,6380.5,6503.1,6575.8,6732.8,6910.1,7051.7,7192,7263.6,7396.2,7566.2,7734.4,7873.9,8002,8074.1,8218.4,8392.3,8535.8,8663.3,8798,8870.8,9049.1,9143.8,9258.6,9397.2,9528.4,9601.9,9750.8,9916.9,10058,10192,10332,10404,10551,10722,10875,11015,11142,11214,11374,11541,11685,11836,11975,12048,12185,12357,12505,12649,12721,12871,13043,13113,13242,13315,13500,13590,13706,13847,13973,14048,14212,14398,14535,14680,14816,14890,15044,15227,15398,15562,15728,15862,15937,16080,16264,16400,16567,16719,16791,16928,17129,17323,17507,17632,17772,17900,17975
224.78,409.21,630.95,823.68,987.39,1176.7,1351.5,1550.3,1733.2,1901.2,2077.8,2197.3,2286.6,2355.1,2558.2,2736.5,2870.5,2999.6,3112.7,3183.8,3340.2,3486.7,3560.8,3701.6,3771.2,3951.1,4066.5,4226.1,4356.3,4450.9,4513.8,4667.8,4861.5,5001.2,5137.8,5245.4,5315.2,5477.9,5620.1,5684.1,5831.7,5902.1,6075.1,6176.8,6347.8,6470.2,6550.7,6620.9,6789.8,6978.6,7120.2,7243.6,7314.8,7462.8,7616.2,7840.3,7972.1,8055.9,8123,8282.9,8463.2,8606,8734.7,8850.9,8923.1,9087.5,9192.4,9366,9485.3,9582.8,9653,9817,9988.2,10127,10263,10383,10454,10620,10771,10978,11112,11195,11265,11443,11607,11752,11902,12028,12100,12254,12425,12573,12700,12770,12936,13072,13152,13292,13364,13540,13643,13813,13940,14030,14098,14275,14464,14605,14750,14872,14943,15110,15282,15435,15614,15827,15917,15986,16150,16336,16472,16635,16771,16842,17006,17184,17365,17563,17738,17876,17955,18026
