l,l,l,i,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,i,r,l,i,l,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,i,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,i
1016.8,1185.5,1348.3,1548.8,1725.4,1868.8,1987.7,2132.8,2246.9,2317.6,2476.9,2650.7,2807,2946.8,3018.5,3163.8,3331.8,3397.3,3531.5,3601.6,3780.8,3866.8,3989.6,4128.8,4247.3,4318.7,4454.6,4638,4787.3,4923.1,4995.1,5137.7,5308.3,5371.3,5495.1,5566.1,5739.1,5827.5,5940.7,6087.5,6204.8,6276.8,6430.6,6605.1,6750.5,6886.4,7019.3,7090.7,7259,7354,7468.7,7606.8,7731,7825.2,7952.5,8126,8306.1,8469.2,8659.3,8798.1,8926.8,9056.2,9181.8,9255.3,9435.6,9602.3,9747.1,9877.5,9949.8,10103,10299,10369,10503,10575,10809,10897,11010,11146,11271,11344,11501,11677,11815,11954,12027,12177,12349,12417,12549,12620,12952,13120,13289,13454,13639,13764,13883,14026,14151,14225,14395,14575,14717,14859,14934,15071,15253,15438,15651,15810
1073.6,1242.3,1411.7,1586.9,1760.4,1924.3,2087,2216.9,2292.3,2365.7,2535.9,2716.5,2873.8,2996.9,3069.7,3226.8,3360.6,3438.1,3579.9,3651.8,3816.9,3921.9,4089.2,4223,4298.8,4363.9,4514.5,4706.1,4856.8,4967.9,5044.8,5201.3,5332.6,5407.7,5543.1,5612.3,5780,5875.7,6050.6,6181.8,6255.6,6324.1,6495.2,6672.3,6820.5,6957.4,7069.7,7137.5,7298.4,7404.8,7574.7,7700.5,7785.7,7847.4,8019.2,8179.5,8348.9,8531.2,8700.2,8855.5,9029.5,9152,9235.6,9303.2,9504.4,9671.1,9816.3,9926.4,10001,10168,10340,10414,10554,10623,10850,10951,11116,11242,11323,11390,11566,11745,11887,12007,12081,12241,12375,12456,12601,12672,12998,13155,13346,13498,13686,13818,13998,14130,14204,14275,14464,14645,14786,14913,14985,15133,15307,15477,15690,15846
