i,i,i,r,l,r,e,e,a,b,r,n,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,n,n,n,a,b,l,r,e,e,a,b,r,l,e,e,a,b,r,l,l,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,i,i,i,i,i,r,e,e,a,b
1058,1225.2,1398.8,1573.8,1743.1,1872.6,1987.4,2127.9,2242.1,2311.8,2475.1,2654.8,2807,2935.8,3061.9,3131.3,3279.3,3458.5,3642.8,3804.3,3923.3,4060.3,4183.7,4254,4416.5,4584.5,4725.5,4858.8,4929,5098.8,5184.8,5298.9,5432.8,5557.5,5632.6,5779.7,5945.1,6085,6220.3,6353.3,6422.7,6586.3,6674.8,6785.2,6925.4,7044.8,7120.5,7269.4,7449,7650.9,7786.2,7909.2,7981.4,8135.9,8318,8497.7,8636.3,8755,8889.4,9012.9,9087.2,9339.3,9528,9672.6,9803.1,9874.8,10064,10153,10267,10409,10532,10601,10767,10952,11145,11340,11512,11683,11878,12014,12130,12267,12390,12464
1090.9,1256.8,1431,1622.8,1788.1,1923.8,2091.8,2212.8,2291.4,2358.6,2541.2,2725,2913.9,3036.1,3115.1,3181,3343.2,3512,3678.1,3859.7,4021.1,4160.3,4234.4,4299.5,4462.6,4653.7,4793.8,4909.2,4977.6,5139.1,5234.2,5402.6,5533.9,5610.5,5677.5,5838.3,6012.6,6152.5,6286.6,6399.9,6473.3,6617.2,6721.8,6890.6,7023.9,7098.5,7168.5,7334.9,7511.1,7759.2,7890,7963.7,8033.7,8196.6,8372.6,8529.4,8686.2,8862.4,8989.1,9062.2,9136.4,9406.9,9600.2,9743.5,9854.7,9926.2,10103,10208,10376,10505,10582,10649,10832,11007,11186,11378,11547,11719,11918,12069,12242,12359,12438,12512
