r,r,r,l,r,n,e,e,a,b,r,n,e,e,a,b,r,n,n,n,a,b,r,n,e,e,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,r,l,i,e,r,e,e,a,b,r,r,n,n,a,b,r,l,i,i,i,l,i,r,r,i,i,l,i,r,e,e,a,b,r,n,e,e,e,a,b,r,l,i,i,r,e,e,a,b
1117.3,1293.7,1481.4,1662.9,1799.6,1977,2126.7,2252.3,2374.9,2443.2,2595.9,2768.6,2932.5,3059.7,3179,3250,3428.9,3618.2,3766.7,3896.3,4021.6,4091.1,4236.8,4410.3,4567,4699.9,4822.3,4892.9,5044.2,5217.6,5396.2,5560.6,5688.7,5808.2,5940.5,6063.2,6134.5,6321.7,6503.3,6645.3,6775.7,6845.4,7013.2,7199.8,7377.2,7544.7,7633.9,7745.8,7883.1,8001.5,8075.6,8220.1,8393.3,8527.3,8659.9,8730.9,8869.9,8904,9042,9216.2,9384.6,9510.6,9626.9,9762.5,9886.1,9957.3,10102,10136,10282,10429,10566,10638,10809,10998,11163,11316,11482,11643,11805,11984,12160,12325,12492,12660,12825,12977,13093,13229,13354,13427,13582,13753,13924,14058,14190,14312,14385,14556,14732,14921,15099,15229,15348,15483,15606,15678
1169.7,1350.3,1535,1717.2,1862.8,2043.4,2221.3,2348.3,2425.9,2494.7,2654.4,2835.4,3026.3,3157.4,3233.8,3300,3496.9,3688,3837.1,3964.8,4073.1,4140.3,4299.2,4477.7,4673.1,4802.2,4876.2,4938.8,5108.1,5272.1,5432.6,5600.5,5747.7,5911.1,6037,6114.7,6183.4,6375.6,6572.7,6718.5,6826.4,6897.1,7084.4,7254.8,7409.1,7578.6,7680.4,7848.3,7980.1,8054,8126.4,8285.1,8463.8,8596.8,8710.8,8782.8,8902.7,8931,9097.3,9248.9,9407.3,9567.9,9732.8,9864.6,9940.2,10006,10135,10166,10353,10502,10621,10688,10876,11054,11204,11360,11521,11697,11841,12033,12200,12364,12534,12716,12868,13027,13199,13328,13407,13477,13643,13822,14026,14160,14288,14365,14437,14622,14787,14958,15138,15286,15445,15575,15660,15726
