i,r,r,l,l,i,r,l,r,r,i,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,r,l,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,i,i,i,r,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,r,l,i,r,e,e,a,b
1521.7,1792.8,1964.2,2144.7,2310,2514.2,2663.4,2839.8,2984,3163.1,3369.9,3543.4,3709.2,3891.1,4032.6,4163.4,4287.7,4412.6,4482.7,4627.1,4795.5,4930.3,5059,5190.1,5261.4,5401.6,5574.5,5638,5759.8,5829.2,5963.3,6000.1,6127.3,6293.7,6428.2,6552.8,6624.1,6770.6,6937.8,7071,7209,7279.3,7413.1,7581.3,7645,7767.5,7838.7,8010.4,8096.4,8212.9,8344.1,8467.3,8540.1,8686.4,8992,9156.5,9434.9,9565.2,9686,9823.6,9943.8,10016,10160,10328,10464,10599,10670,10812,10996,11139,11274,11398,11468,11607,11772,11959,12133,12222,12335,12467,12592,12673,12810,12992,13138,13281,13424,13495,13629,13801,14012,14188,14321,14442,14578,14703,14775,14938,15082,15221,15356,15428,15657,15743,15858,15995,16125,16198,16412,16593,16734,16870,17000,17074,17225,17402,17535,17724,17905,18092,18218,18353,18479,18551
1553.1,1828,2017.7,2202.5,2370.5,2550.3,2718.5,2899.3,3035.1,3222.9,3412.9,3590.2,3768.5,3927.4,4090.3,4251.8,4384,4461.5,4530.1,4685.1,4859.9,4996.6,5126.4,5239.3,5310.4,5463.9,5607.8,5678.8,5808.5,5878.9,5998.8,6026.2,6182.9,6399,6515.1,6602.5,6670.8,6838.5,7004.1,7143.1,7258.5,7329,7477,7603.6,7678.4,7815.8,7886.3,8046.6,8143.4,8314.1,8437.3,8518.2,8582.7,8748.5,9028.5,9191.8,9473.7,9618,9784.1,9921.8,9994.5,10064,10220,10400,10537,10646,10719,10877,11068,11215,11344,11446,11519,11672,11829,11995,12170,12280,12437,12564,12645,12714,12878,13060,13212,13354,13473,13548,13696,13857,14045,14224,14379,14538,14678,14753,14823,15013,15151,15294,15407,15479,15696,15793,15962,16091,16178,16245,16481,16663,16806,16941,17052,17124,17284,17446,17610,17777,17944,18153,18319,18445,18530,18600
