i,r,r,r,l,l,i,l,e,e,a,b,r,n,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,l,r,r,r,r,r,i,i,l,r,l,e,e,a,b,r,n,n
1028.6,1216.9,1423.3,1625.8,1798.1,1967.2,2197.4,2369.8,2544.6,2677.9,2798.2,2874.7,3095.9,3289.5,3485,3718.7,3887.4,4009.8,4155.7,4277,4351.4,4509,4685,4838.4,4986.1,5117.8,5189.2,5360.1,5545,5729.8,5898.5,6027.3,6194.8,6380.3,6562.5,6690.6,6899.8,7069.2,7236.7,7359.7,7543.4,7708.5,7848.8,7969.8,8041.8,8200,8394.5,8530.5
1068.2,1271,1476.2,1681.3,1856.8,2031.6,2246.1,2432.1,2646,2772.2,2854.4,2924.7,3162.8,3357.2,3543,3759.8,3941,4111.7,4248.9,4331.9,4404,4575,4751.8,4908.9,5055.1,5167.8,5238,5435.5,5602.8,5772.2,5960.4,6090.7,6249.1,6439.3,6608.3,6777.6,6942.9,7117.5,7299.9,7437,7604.8,7809.5,7944,8022.3,8098.7,8271,8465.9,8595.9
