i,i,i,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,l,r,e,e,e,a,b,r,n,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,i,v,x,a,b,i,r,e,e,a,b
1200,1389.7,1556.4,1712,1845.2,1969.1,2103.5,2230,2303.5,2450.2,2619.7,2754,2886.6,3016.8,3089.5,3227.6,3392,3451.3,3574.7,3647.2,3812.3,3903.5,4016.1,4152.4,4281.8,4355.8,4508.2,4672.8,4809.8,4943.5,5076.5,5148.2,5299.6,5476.1,5540.9,5669.9,5743.3,5893.6,5989.2,6105.8,6254.1,6370.8,6445.6,6616.2,6793.9,6934.4,7067,7201,7278.1,7412.5,7575.4,7718,7858.4,7987.2,8060.5,8229.2,8403.8,8544.7,8665.2,8800.3,8933.5,9061.8,9135.7,9299.1,9483.7,9712.8,9895.8,10064,10205,10328,10464,10592,10666,10829,11002,11154,11299,11373,11514,11695,11882,12022,12147,12222,12375,12414,12560,12633,12765,12839,13055,13146,13260,13400,13529,13602
1234.5,1420,1584.1,1747.1,1897.2,2061.8,2202.6,2282.7,2348.8,2517.2,2689.8,2820,2958.1,3067.2,3134.2,3268,3415.3,3495.2,3626.6,3694.2,3847.9,3952.5,4123.5,4257.8,4335.4,4403.9,4571.8,4740.6,4881.8,5013.8,5127.4,5197.7,5366.7,5506.1,5582.3,5722.2,5791.6,5935.1,6037.3,6210.8,6342.3,6420.3,6491,6685.1,6867.5,7004.8,7140.6,7256.2,7332.6,7476.6,7625.3,7821.7,7954.7,8042.9,8110.8,8295.6,8465.7,8595.5,8768.5,8896.3,9032.8,9116.3,9182.8,9372.7,9550,9762.8,9931,10107,10259,10427,10561,10647,10710,10901,11077,11222,11351,11424,11583,11751,11988,12122,12201,12268,12413,12435,12601,12670,12818,12889,13094,13198,13360,13494,13582,13650
