i,i,i,i,l,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,i,i,i,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,l,l,i,l,i,i
1163.1,1330.3,1508,1675.8,1818.9,1987.1,2124.2,2243.3,2317.1,2457.2,2636,2776.4,2905.3,2978.2,3134.6,3316.6,3454.1,3587.6,3659.5,3797.6,3980.5,4158.9,4318.6,4489.3,4647,4808.1,4974,5119.9,5239.4,5376.5,5498.7,5572.8,5778.7,5948.8,6098.4,6230,6366.3,6439.8,6584.3,6766.9,6828.4,6963.2,7050,7234.1,7322.8,7439.5,7579.4,7701.2,7788.7,8013.5,8043.5,8192.5,8371.4,8559.4,8713.6
1196.9,1368,1533.6,1712.7,1875.5,2094.8,2223.5,2293.1,2367.2,2521.7,2705.5,2844.3,2954.7,3028.6,3206.4,3388.7,3527.4,3642.8,3715.5,3864.4,4037,4201.2,4352.8,4527.8,4687.7,4867.3,5012.3,5175.5,5339.8,5476.8,5553.6,5626.8,5845.3,6021,6168.5,6303.5,6414.4,6490.4,6649.2,6802.8,6872.3,7016.1,7087,7268.8,7367.7,7543.9,7669.4,7754.4,7823.3,8037.3,8072.5,8230,8431.6,8599.5,8733.7
