r,l,i,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,l,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b
1079.9,1256.7,1418.9,1575.3,1721.8,1870.7,1996.4,2134.8,2259.2,2333.3,2477.3,2648.8,2784.2,2914.2,3045.3,3118.2,3288,3378.2,3492.9,3626.7,3760.6,3889.9,3961.5,4100.7,4270.7,4414.7,4552.6,4687.3,4761.2,4897.3,5070.4,5236.1,5386.5,5518.2,5655.1,5778.6,5853.1,5987.3,6178.9,6321,6460.4,6532.7,6679.4,6857.6,7023.3,7195.1,7339.9,7481.3,7605,7679.8,7830.2,8011.9,8156.4,8291,8370.3,8544.2,8630.4,8751.2,8895.8,9026,9101.2,9253.5,9448.3,9591.8,9736.3,9876.7,9956.2
1149.1,1317.2,1465.3,1614.9,1762.2,1931,2100.8,2231.9,2315.5,2385.3,2550.2,2718.8,2855,2982.8,3100.6,3173.3,3339.7,3435.6,3594.3,3731.3,3863,3950.6,4016.1,4175.8,4344.4,4488,4628.3,4744.2,4820.2,4974,5132.1,5285.4,5448,5620.3,5750.6,5831,5904.3,6060.1,6251.1,6393.4,6516.6,6586.8,6753.2,6916,7069.4,7263.6,7444.4,7586.3,7666.1,7737.7,7909.2,8085.8,8232.2,8352.4,8428.5,8588.9,8691.2,8856.4,8998.3,9086.4,9156.8,9326.5,9521.7,9660.2,9805.8,9942.3,10013
