l,i,l,i,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,l,i,l,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i
1012.1,1195.1,1359.7,1556.1,1732,1866,1986,2127.6,2255,2328.2,2473.4,2670.1,2812.2,2946,3016.7,3189,3279.6,3393.8,3536.2,3661.2,3733.2,3885.1,4063.1,4213.1,4343.1,4414.2,4596.6,4690.1,4802.3,4944.2,5066.3,5140.9,5292.7,5466.5,5603.1,5736.5,5871.8,5943.1,6086.7,6276,6457.7,6623.9,6744.1,6865,7006.7,7133.4,7207.7,7420.5,7593.7,7750.1,7886,8008.8,8082.3,8232,8418.4,8565.7,8706.7,8778.8,8922.9,9100.1,9287.7,9468.2,9619.1,9755.4,9882.8,9958.2,10158,10335,10470,10613,10688,10875,10967,11082,11220,11346,11421,11574,11765,11912,12070,12217,12290,12441,12615,12689,12824,12896,13091,13183,13300,13437,13563,13641,13798,13985,14158,14311,14385,14558,14728,14925,15261
1070.1,1217.3,1416.8,1596,1773,1917.2,2087.6,2224.5,2309.2,2368.7,2534.1,2739,2882.8,2993.3,3063.9,3215.1,3328.4,3494.2,3636,3711.7,3778.6,3945.7,4133.2,4275.1,4392,4464.2,4631.1,4737,4901.9,5037.4,5119,5186.3,5346.9,5536.5,5674.6,5802.4,5923.2,5992.9,6151.8,6336.2,6497.1,6669.3,6800,6974,7107.4,7179.1,7251.8,7493.2,7663.7,7861.5,7983.5,8060,8130.1,8299.3,8486.6,8638.8,8758.2,8825.4,8990.1,9152.7,9327.2,9525.7,9727.3,9857.5,9939.3,10004,10228,10405,10543,10667,10738,10913,11023,11184,11311,11397,11462,11636,11834,11986,12140,12269,12339,12507,12653,12730,12875,12947,13126,13233,13406,13533,13613,13687,13864,14058,14227,14363,14434,14625,14787,14970,15303
