r,l,r,r,r,r,r,i,r,r,e,a,b,r,n,n,a,b,r,n,n,n,a,b,l,r,e,e,a,b,r
1958.1,2184.8,2394.5,2592.5,2781.8,2976.6,3175.4,3370.7,3538.4,3734.9,3925.9,4053.3,4122.2,4267.1,4443.2,4578.9,4723.3,4791.5,4938.2,5130,5282.1,5424.9,5554.7,5622.5,5817.7,5905,6015.3,6147.9,6270.9,6342.7,6521.2
2009.5,2214.9,2441,2641.9,2834.8,3026.1,3230.6,3399.3,3594.1,3790.9,4013.6,4098.6,4175.9,4331,4509.4,4645.8,4770.4,4843.4,5002.1,5196.6,5349,5491.7,5601.1,5672.5,5855.2,5961.1,6120,6244,6323.8,6395.8,6583.1
