r,r,r,r,i,i,r,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,n,r,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,e,a,b,r,n,n,a,b,r,l,i,r,r,r,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,i,i,r,e,e,a,b
1188.6,1399.8,1600.5,1790.6,1986.1,2166.1,2304.2,2421.2,2568.2,2686.4,2755.2,2932.2,3121.1,3184.7,3302,3375.9,3543.5,3632.2,3743.7,3890,3998.4,4072.5,4224.2,4253.4,4405.6,4559.6,4711.7,4781.4,4925.2,5103.6,5257.9,5391.2,5513.9,5590.5,5730.7,5924.8,6067.2,6209.7,6336.2,6413.8,6560.5,6756.1,6916.4,7055.8,7172.9,7307.9,7433.2,7504.2,7657.6,7826.5,7976.2,8108.4,8243.5,8314.7,8443,8618.1,8692.6,8813.1,8888.5,9072.2,9160.6,9275,9410.8,9545.4,9667.1,9744.1,9931,10122,10264,10412,10485,10625,10825,11014,11157,11350,11538,11672,11805,11934,12007,12176,12360,12436,12569,12647,12829,12915,13032,13175,13301,13375,13561,13749,13887,14023,14096,14350,14442,14560,14697,14826,14900,15065,15236,15428,15625,15732,15851,15995,16116,16196
1243.6,1459.7,1655.2,1843.5,2032.3,2199.8,2357.7,2519.4,2658.5,2735.9,2803.4,3005.4,3146.9,3222.9,3355.5,3425.3,3579.5,3681,3840.6,3973.7,4051.2,4117.7,4249.3,4279.4,4478.1,4624.2,4759.3,4830.2,4995.7,5157.5,5362.2,5489.9,5567.8,5635.6,5800.3,5989.9,6131.2,6272.9,6391,6462.8,6634.4,6814.4,6982.5,7107.6,7273.8,7405,7483.3,7551.7,7730.6,7893.6,8041.3,8178,8292.2,8364.8,8515.5,8657.3,8728.6,8870.7,8939.1,9109.4,9207.6,9375.6,9511.3,9648.6,9724.4,9797.9,10004,10194,10338,10462,10535,10696,10888,11050,11220,11409,11593,11778,11905,11986,12058,12249,12405,12476,12630,12699,12866,12970,13140,13272,13355,13424,13632,13817,13952,14075,14147,14388,14496,14662,14795,14881,14946,15137,15297,15477,15665,15788,15964,16098,16174,16244
