i,i,l,i,i,i,e,e,a,b,r,n,n,n,a,b,r,n,n,n,a,b,r,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,r,l,i,i
1074,1239.9,1394.1,1564.8,1738.8,1875.6,1995.2,2131.4,2247.2,2315.8,2468.2,2637.2,2780.3,2917.1,3046.8,3115.2,3248.7,3424.4,3562.1,3696.2,3834,3901.8,4043.1,4277.3,4404.2,4472.1,4675.8,4766.8,4885.4,5021.5,5140.2,5211.5,5364.8,5530.5,5670.6,5810.1,5879.1,6023.7,6194.5,6317.7,6486.7,6662,6819.1
1095.7,1270,1451.5,1597,1769.7,1922,2094,2219.4,2297.4,2367.5,2532.1,2706,2842,2986.8,3093.7,3162.2,3304.4,3494.1,3633.8,3766,3881.5,3951.1,4098.7,4313.1,4449.2,4519.3,4708.1,4810.9,4975.2,5117,5190.8,5256.4,5422.7,5594.9,5736.6,5859.1,5927,6085.6,6244.1,6384.3,6537.1,6697.5,6839.6
