r,r,l,i,l,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,l,i,i
1133.2,1302.2,1488.1,1668.4,1827.9,1989.9,2119.5,2242.6,2314,2475.5,2657.5,2796.8,2926.2,3056.8,3128.8,3271.2,3443.4,3511.5,3636.4,3712.1,3886.3,3974.5,4088,4223.5,4354.9,4427.6,4578.8,4786.1,4938.5,5081.3,5206.8,5280.6,5439.9,5625.5,5800.1,6014,6191.7
1186.6,1356.6,1545.9,1699.2,1884.1,2081.2,2214.1,2292.4,2361.2,2542.8,2724.7,2862.9,2996,3106,3176.6,3322.8,3469.9,3547.6,3685.8,3757.6,3910.2,4022.6,4186.4,4316.9,4407.9,4465.7,4646.8,4854.2,5040.1,5167.4,5259.3,5304.9,5510,5691.6,5860.7,6037.9,6229.5
