r,l,r,r,l,r,e,e,a,b,r,n,n,i,i,r,e,e,a,b,r,n,n,a,b,r,l,l,l,i,r,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,i,n,n,a,b,r,l,i,i,r,e,e,a,b,r,l,i,r,e,e,a,b,r,l,l,r,l
1071.5,1232.5,1377.8,1561.7,1749.6,1862.2,1982.7,2119.2,2243.6,2316.2,2544.9,2721.8,2865,3372.1,3532.8,3687.7,3807.5,3942.1,4061.7,4139.8,4284.3,4458.6,4591.8,4727,4800.5,4940.6,5111,5268.8,5408.7,5564.4,5691.5,5814.1,5954.7,6081.7,6155.2,6299.5,6473.2,6538.3,6661.6,6732,6895.3,6991.1,7103.2,7243.6,7369.5,7444,7576,7738.5,7875.2,8010.9,8084,8237.5,8415.4,8580.9,8717,8841.3,8974.7,9102.9,9177.1,9317.8,9353.9,9491.1,9626.9,9757.5,9832.5,9983.4,10150,10325,10497,10587,10704,10842,10966,11042,11189,11376,11548,11679,11802,11939,12066,12141,12290,12483,12653,12794,12979
1122.3,1286,1435.1,1611.8,1802.8,1911.2,2081.3,2217,2295.7,2368,2609.4,2786.2,2937.1,3409.4,3569.9,3745.4,3907.7,4042.7,4122.1,4191.9,4349.7,4525.8,4659.8,4778,4851.6,5004.4,5170.7,5327,5455.8,5599,5745,5913.2,6054.5,6135.6,6201.2,6364.2,6497.2,6575,6709.8,6782.6,6929.9,7034.9,7200.8,7348.3,7426,7489.6,7640.1,7808.1,7946.9,8065.1,8135.3,8307.3,8471.4,8613.1,8766.8,8932.3,9069.6,9157.1,9224.9,9352.9,9380.1,9563.7,9695.1,9809,9882.1,10040,10205,10369,10535,10641,10806,10942,11021,11089,11253,11432,11588,11729,11906,12041,12123,12194,12360,12543,12712,12872,13032
