r,r,r,r,l,r,e,e,e,a,b,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,l,r,e,e,a,b,r,n,n,n,a,b,r,l,i,l,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,e,a,b,r,n,n,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,e,a,b,r,n,l,i,l
1009.7,1198.4,1373.4,1562.7,1726.8,1869.3,1995,2135.8,2262.1,2383.8,2453.2,2786.2,2945.2,3128.7,3267.1,3384.3,3529.4,3647.4,3719.1,3879.4,4066.6,4208.2,4341.5,4474.3,4542.5,4694.5,4874.4,5056.8,5217.2,5361.5,5487.7,5616.4,5739.7,5810.3,5957.6,6148.6,6282.8,6418.1,6552.4,6622.5,6770,6947.8,7111.9,7277.3,7460.8,7591.4,7714.3,7785.5,7929.9,8104.8,8239.2,8375.1,8513.4,8583,8726.1,8900.7,9132.7,9267.3,9386.2,9519.7,9652.3,9775.1,9847.9,10022,10201,10346,10480,10550,10697,10878,11025,11163,11235,11405,11492,11607,11741,11869,11940,12106,12300,12450,12593,12729,12799,12958,13132,13195,13329,13399,13577,13670,13782,13919,14051,14179,14250,14394,14582,14764,14962,15129
1066.6,1252.8,1425.7,1620.8,1777.7,1919,2093.4,2224.7,2357.9,2434.9,2503.6,2821.4,3009.8,3166.2,3317.6,3490.7,3617.8,3697.5,3764.6,3929.5,4139.2,4278.5,4406.2,4522.8,4596.6,4759.5,4934.3,5093.5,5279.6,5411.4,5584.3,5710.1,5789.8,5858.2,6024.1,6220.5,6351.1,6488.9,6603.2,6673.8,6832.4,6998.2,7150.8,7337.5,7563.8,7687.3,7768.8,7834.6,7994.5,8176.4,8308.8,8447.5,8566.4,8634.1,8794.2,8957.6,9166.5,9323.1,9480.8,9621,9753.1,9829.2,9892.9,10089,10271,10414,10531,10597,10764,10949,11096,11216,11286,11437,11548,11714,11846,11921,11987,12172,12374,12520,12662,12780,12852,13024,13160,13242,13381,13449,13614,13718,13885,14007,14152,14229,14301,14448,14650,14820,14998,15182
