i,i,r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,r,v,x,a,b,l,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,l,l,i,l,i,r,e,e,a,b
1337,1570.9,1774.9,1968,2146.1,2319.4,2460.1,2642.5,2781.5,2896.3,2966.1,3115.8,3290.4,3432.7,3569.2,3702.2,3772.6,3913.9,4080.4,4141.8,4265.3,4335.8,4522.5,4610.6,4722.3,4860.6,4984.1,5055.1,5210.6,5386.4,5531.6,5666,5735.2,5879.4,6060.8,6122.7,6256.1,6324.3,6509.1,6597.6,6708.3,6850.3,6966.5,7037.7,7189,7361.9,7502.9,7657.1,7727.8,7869.5,8043.8,8188.8,8324.7,8460.5,8530.8,8683.1,8866.7,8944.9,9068.9,9138.8,9312.4,9400.3,9513,9650.3,9773.7,9845.6,9988.7,10167,10313,10451,10581,10653,10852,11029,11176,11314,11433,11506,11700,11871,12041,12230,12421,12592,12787,12926,13045,13187,13313,13386
1373.4,1613.1,1827.1,2023.1,2203.7,2380,2516.5,2745.2,2878.1,2944.2,3008.5,3177.7,3358.7,3500.3,3641,3751.7,3822.3,3976.2,4112.3,4187.1,4316.1,4388.1,4560.1,4665.1,4828,4959.1,5034.9,5101.3,5273.9,5456.3,5602.9,5716.9,5786.6,5947.2,6084.4,6164.9,6305.2,6374.2,6544.3,6646.1,6808.4,6945.1,7019.5,7082.1,7251,7429.3,7570.8,7706.4,7775.3,7934.1,8114,8261.4,8398.2,8512.1,8580.8,8753.2,8913,8983.2,9115.2,9184.6,9347.2,9449.9,9617,9753.8,9828.1,9893.4,10052,10240,10384,10524,10635,10704,10923,11084,11274,11414,11490,11559,11767,11944,12102,12291,12461,12651,12830,12985,13153,13291,13369,13437
