l,l,l,r,r,r,r,r,r,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,l,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b
1132.2,1316.6,1464.8,1624.9,1804.8,1983.3,2150.5,2328.4,2506.7,2665.4,2790.3,2930,3055.1,3124.9,3297.5,3483.8,3628.6,3756.3,3831.7,3989.1,4162.1,4321.7,4456.4,4577.8,4653.8,4795.1,4964.5,5105.9,5240.9,5311,5453.3,5618.8,5695.6,5823.9,5893.9,6049.8,6143.9,6258.4,6398.5,6519.8,6596.2,6732.1,6915.2,7054.9,7186.3,7326.4,7398.5,7543.9,7638.8,7751.8,7888.3,8014.9,8087.4,8221.2,8404.3,8531.7,8663.7,8798.3,8869.6,9023.2,9201.9,9369.7,9499.8,9621.6,9763.1,9885.5,9964.3,10125,10316,10461,10647,10783,10905,10983,11144,11317,11476,11606,11733,11813,11954,12126,12307,12451,12625,12758,12881,12958,13143,13335,13478,13617,13741,13821,13984,14158,14317,14457,14581,14660
1189.5,1368.2,1520.2,1678.2,1859.4,2036.9,2207.8,2384.2,2567.5,2719.9,2896.7,3031.5,3106.1,3179.8,3373.5,3553.7,3699.7,3815.6,3883.8,4067.2,4224.6,4429.5,4557.9,4638.2,4705.5,4866.5,5040.6,5173.5,5293.3,5359.6,5524.4,5664.2,5735.4,5876.4,5945.3,6085.7,6198.9,6359,6503.6,6577.5,6648.8,6803.5,6988.5,7125.7,7257.4,7379.5,7455.2,7595.4,7694.7,7859.2,7994.4,8068.3,8135.7,8289.6,8474,8600.6,8730.9,8852.5,8926.3,9099.7,9264.3,9421.1,9557.7,9731.3,9868.7,9948.5,10014,10199,10379,10520,10755,10878,10969,11039,11216,11394,11547,11677,11796,11866,12027,12186,12358,12510,12731,12861,12940,13018,13217,13404,13548,13690,13801,13877,14056,14220,14429,14562,14640,14714
