i,r,r,r,r,r,l,r,l,l,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,l,r,e,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,n,n,a,b,r,l,i,l
1770.1,1976,2247.7,2417.6,2617.9,2827.8,3008.2,3163.8,3392.8,3544.4,3733.1,3885.2,4000.2,4136,4247,4316,4473,4642.9,4782.5,4916.3,4983.9,5128.4,5293.4,5354.9,5485.7,5552.7,5728.8,5812.6,5923,6056.3,6185.4,6308.5,6377.7,6530.6,6698.2,6850.4,6984.1,7052.8,7196.1,7375,7438.6,7567,7636.1,7807.1,7892.3,8003.6,8137,8264.7,8336.1,8487.1,8655.7,8795.1,8918.7,8989.2,9172.6,9259.3,9371.8,9506.6,9629,9701.2,9861,10029,10184,10321,10390,10535,10708,10890,11024,11151,11221,11355,11531,11674,11811,11882,12081,12169,12281,12415,12537,12609,12766,12980,13117,13262,13332,13470,13639,13834,14002
1791.9,2015.1,2282,2466.5,2671.2,2879,3067.3,3219.2,3447.9,3604.2,3769.2,3932,4100.1,4213.2,4294.1,4363.8,4533,4706.2,4850.7,4962.9,5031.3,5190,5323.7,5397,5533.3,5604.9,5764.8,5858.7,6018.7,6157.6,6286,6357.3,6420.4,6588.4,6766.2,6919.5,7033,7101.4,7259.4,7410,7479.8,7617.2,7685.6,7843.9,7948,8101.8,8232.2,8315.5,8383.3,8549.9,8727.6,8861.2,8967.7,9035.5,9204.3,9303.8,9468.5,9607.6,9678.8,9746.2,9918.9,10095,10249,10370,10439,10599,10768,10993,11118,11202,11271,11418,11600,11745,11862,11933,12118,12215,12380,12501,12588,12657,12826,13047,13186,13311,13382,13537,13698,13877,14065
