r,r,r,l,r,i,l,i,l,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,n,n,n,a,b,r,v,x,a,b,i,n,e,e,a,b,r,r,n,n,n,a,b,r,l,i,l,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,l,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,i,r,e,e,a,b
1129.5,1326,1515.4,1690.2,1840.9,1994.8,2160.2,2331.9,2477.9,2654.1,2800.7,2926.5,3064.7,3182.2,3252.2,3416.1,3599.1,3739.3,3871.4,3999.1,4068.2,4238.2,4325.2,4436.5,4571.6,4691.7,4764.5,4906.9,5080.2,5262,5397,5521.8,5592.4,5774.9,5955.3,6098.8,6234.8,6360.3,6431.3,6591.7,6767.5,6908.1,7045.3,7170.9,7242.7,7383.8,7556.3,7619.2,7736.7,7805.7,7990.9,8077.6,8192,8331.8,8451.8,8529.9,8662.5,8701.3,8841,8980.2,9120.1,9252.7,9323.1,9476.6,9645.6,9825.1,9981.2,10146,10321,10409,10526,10661,10782,10859,11010,11197,11343,11478,11613,11686,11866,11951,12066,12210,12337,12408,12563,12733,12801,12924,12996,13175,13261,13379,13522,13643,13719,13873,14049,14189,14338,14409,14593,14783,14946,15074,15201,15273,15442,15616,15757,15891,16020,16093,16252,16341,16456,16594,16721,16795,16971,17153,17307,17449,17583,17655,17812,17984,18193,18351,18547,18682,18808,18882,19058,19250,19396,19535,19612,19762,19964,20100,20238,20390,20462,20717,20854,20972,21106,21235,21309
1176.9,1381,1570.1,1745.9,1896.1,2038.7,2225.2,2371.6,2542.5,2692.3,2853,3018.9,3152.7,3231.6,3298.4,3485.5,3664.2,3806.4,3938.3,4046.1,4118.1,4274.3,4376.7,4535.6,4668,4741.6,4810.9,4974.7,5136.3,5365,5496.7,5573.3,5635.6,5840.6,6023,6162.1,6299.1,6408.7,6479.8,6667.2,6835,6976.4,7117.1,7220.6,7291.7,7454,7586.1,7658.5,7789.7,7854.4,8028.2,8130.1,8299.8,8425.6,8507.8,8575.4,8700.1,8727.8,8906.9,9049.1,9191,9303.9,9376.2,9548.8,9702.5,9867.5,10042,10195,10363,10463,10627,10754,10838,10906,11079,11265,11417,11553,11663,11736,11911,12008,12173,12303,12387,12458,12632,12763,12837,12977,13046,13212,13317,13480,13621,13698,13768,13941,14121,14257,14387,14458,14666,14840,15038,15172,15251,15324,15510,15684,15830,15959,16072,16145,16289,16394,16558,16695,16772,16840,17043,17220,17379,17523,17635,17706,17888,18048,18238,18412,18650,18783,18863,18934,19127,19317,19468,19596,19666,19832,20034,20176,20311,20443,20513,20761,20911,21072,21197,21286,21362
