l,l,l,i,r,r,r,r,l,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,e,e,a,b,r,l,i,i,i,r,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,l,e,e,a,b,i,i,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b
1294.3,1474.5,1765.4,1994.9,2175.3,2354.6,2539.8,2713.5,2901.6,3045.6,3171.4,3309.3,3434.2,3506.8,3684.4,3866.5,4004.1,4151.7,4223.9,4408.1,4496.1,4614.3,4748.3,4872.5,4945.8,5121.2,5303.8,5437.7,5581.6,5653.6,5780.3,5964.3,6125,6261.8,6388.2,6461.4,6636.8,6725.2,6842.6,6986.9,7114.3,7188.3,7332.2,7511,7660.6,7792.4,7923.1,7996.9,8132,8310.9,8372.9,8494.1,8571.9,8727.4,8814.9,8935.3,9071.7,9199.7,9273.5,9435.8,9612.6,9745.2,9872,9951.7,10094,10261,10434,10578,10727,10862,10999,11127,11202,11340,11521,11702,11838,11966,12041,12188,12359,12523,12706,12862,13017,13139,13272,13351,13519,13705,13842,13990,14130,14204,14434,14525,14645,14789,14918,14993,15137,15318,15502,15641,15768,15843,16284,16462,16628,16824,16961,17087,17223,17350,17426,17600,17785,17927,18078,18227,18301,18424,18603,18787,18924,19052,19129,19281,19463,19620,19758,19903,19979,20164,20364,20540,20710,20857,20983,21126,21254,21331
1345.2,1533.3,1822.3,2036.3,2233.2,2412.3,2601.1,2772,2968.4,3107.9,3276.1,3406.2,3490.2,3565.1,3761.7,3937.9,4077.2,4206.9,4282.5,4458.2,4558.1,4718.7,4843,4929.1,4999,5196.3,5374.3,5508.6,5636.8,5713.3,5864.8,6023.1,6232.5,6365.1,6447.8,6517.9,6684.3,6784.2,6950.8,7088.6,7173.1,7241.5,7408,7582.9,7730.8,7865.6,7979.9,8055.7,8216.7,8345.1,8423.2,8556.4,8634.3,8771.5,8878.6,9041.3,9164.6,9258.6,9328.1,9512.9,9685.6,9818.2,9934.3,10012,10178,10322,10479,10622,10792,10971,11103,11185,11255,11418,11594,11808,11937,12027,12097,12263,12423,12575,12760,12913,13085,13248,13336,13405,13599,13778,13915,14063,14187,14264,14486,14589,14754,14891,14978,15050,15213,15382,15612,15741,15829,15894,16334,16506,16670,16877,17026,17192,17323,17405,17483,17677,17856,18002,18153,18282,18360,18506,18665,18894,19032,19113,19183,19364,19538,19695,19836,19962,20037,20240,20423,20581,20762,20923,21097,21224,21314,21384
