i,i,r,r,l,r,r,l,r,i,r,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,i,l,e,e,a,b,r,n,n,n,a,b
1723.9,1980.4,2160.1,2366.9,2541.1,2709.6,2891.3,3070.2,3230.8,3444.1,3610,3767.8,3908.2,4035,4168.7,4293.1,4363.5,4519.2,4694.5,4835.7,4978.3,5046.4,5184.7,5363.4,5541.2,5691,5805.7,5941.3,6061.7,6133.8,6290.1,6460.6,6597.8,6727.9,6797.5,6930.2,7108.2,7295.1,7427.6,7549.7,7621.1,7773.1,7938.8,8091.5,8220.2,8290.7,8469.5,8556.5,8670.2,8806.2,8929,9001.7,9143.6,9314.6,9461.7,9596,9665.4,9807.2,9984.5,10164,10295,10416,10488,10640,10811,10946,11081,11152,11294,11472,11638,11808,11963,12100,12225,12298,12444,12621,12770,12906,13036,13108
1744.7,2015.1,2205.6,2418.8,2598.5,2761.8,2942.8,3127.4,3278.9,3482.5,3644.7,3805.2,3956.3,4128.3,4265.9,4341.2,4412.1,4570.9,4759,4902.5,5026.4,5094.3,5246.2,5415,5562.7,5738.4,5908.7,6034.6,6113.2,6178.6,6349.6,6531.2,6666.3,6777.7,6848.8,6997.9,7164.6,7392.5,7523.5,7597.8,7662.8,7839.1,8008.6,8162.1,8269.2,8335,8494.4,8603.8,8765.4,8900.2,8975.5,9044.3,9201.2,9380,9530.1,9644.7,9714.7,9872.2,10041,10260,10385,10468,10534,10690,10882,11014,11131,11198,11358,11527,11662,11861,12067,12193,12276,12345,12508,12686,12843,12972,13082,13157
