r,r,r,l,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,l,i,l,l,i,r
1133.8,1307,1488.5,1665.9,1797.8,1971.8,2108.2,2235.3,2307,2437.6,2611.8,2677.8,2802.8,2871,3051.4,3140.2,3254.3,3398.7,3521.7,3592.5,3733.3,3913,4048,4195.4,4333.8,4404.1,4551.2,4714.3,4875.8,5013.6,5139.2,5209.8,5356.2,5525.2,5699.8,5881.7,6051.1,6228.9,6400.8,6532.1
1183.9,1363.3,1545.1,1720.3,1873.3,2043.3,2178.6,2288.5,2355.9,2504.6,2646.3,2717.5,2850.7,2918.2,3089.9,3186.8,3354.8,3491,3573.5,3641.1,3798,3980,4118.8,4264.5,4385.1,4456.1,4614.8,4762.5,4985.8,5111.6,5192.5,5260.8,5418.1,5591.4,5760,5917,6106.2,6282.7,6438.2,6577
