i,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,i,r,e,e,a,b,i,r,x,a,b,i,r,e,e,a,b,i,l
1083,1259.6,1442.8,1649.1,1827.5,1996.4,2132.4,2250.1,2319.8,2513.2,2703.7,2850.7,3008.8,3151.9,3220.5,3391.1,3577.1,3762.9,3901,4025,4096.1,4336.6,4432.9,4546.7,4692.5,4816.9,4887.2,5303.1,5485.9,5564.5,5684,5759.2,5927.7,6020.7,6136.5,6277,6406.7,6477.9,7117.8,7255.8
1121.1,1318.5,1494.2,1701.5,1886.7,2082.4,2218.9,2299.7,2366.6,2582.2,2770.1,2913.4,3077.3,3198.5,3271.8,3459.8,3635.5,3863.3,3995.7,4074.6,4145.1,4374.2,4487.2,4642.2,4791.8,4867,4935.1,5348.7,5517,5594.9,5738.3,5803.7,5973.8,6072.6,6234.1,6374,6459.1,6528.3,7152.6,7316
