i,i,r,r,r,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,l,i,i,r,e,e,a,b,r,n,e,e,a,b,r,l,n,a,b,i,r,e,e,a,b,r,n,n,a,b,i,i,e,e,a,b
1002.2,1193.2,1346.8,1534.5,1691.1,1861.8,1982.3,2115.3,2239.3,2312.5,2527.8,2704.1,2853.4,3012.9,3084.9,3223.6,3396.9,3466.2,3600.8,3672.1,3808.8,3904.3,4019.5,4163.6,4292.6,4365.2,4520.3,4699.5,4847,4998.8,5071.8,5246.7,5342.2,5458.5,5595.6,5717.8,5792.2,5935.9,6117.9,6260.3,6404,6476.2,6626,6795.7,6861.5,6986.9,7059,7217.8,7312.9,7431.2,7569.2,7694.1,7768,7935.8,8103.8,8247.4,8386.7,8511.7,8586.8,8744.9,8929.8,9088.9,9253.2,9401.4,9523.7,9661.9,9787,9862,10022,10203,10369,10508,10635,10707,10838,11021,11092,11231,11308,11517,11605,11723,11859,11990,12064,12235,12418,12557,12703,12776,12930,13026,13144,13287,13419,13494
1039.4,1229.1,1401.1,1583.3,1743,1907.7,2080.5,2212.1,2291.1,2360.7,2590.8,2771.9,2923.8,3064.2,3139,3289.2,3440.7,3517.2,3653.5,3721.2,3854.9,3956.5,4120.6,4262.9,4347.1,4413.9,4583.2,4765.6,4915.5,5052.5,5121.5,5293.7,5397.1,5556.5,5686.9,5773.2,5839.9,5999.3,6189.3,6335.7,6455.7,6523.1,6668.3,6823.7,6902.6,7039,7105.5,7261.6,7364.7,7532.8,7669,7750.8,7815.1,7996.7,8173.7,8353.6,8491.1,8564.1,8638.5,8811.5,8991.4,9134.9,9304.7,9460.4,9624.9,9757.9,9843.8,9913,10087,10276,10473,10608,10690,10758,10904,11064,11128,11289,11362,11564,11665,11827,11956,12046,12111,12304,12486,12631,12756,12825,12978,13086,13254,13387,13476,13542
