l,l,l,l,l,r,i,i,i,i,l,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,l,i,r,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,l,i,r,e,e,a,b,r,n,l
219.58,443.65,600.66,783.83,1004.8,1205.4,1425.1,1644.3,1828.6,1994.4,2118.8,2249.8,2373.4,2506.6,2631.2,2702.8,2838.3,3009.2,3152.9,3279.3,3415.9,3488.8,3644.3,3734.8,3848.9,3989.3,4115.8,4188.1,4347.6,4517,4657.3,4791.6,4864.1,5039.5,5133.8,5249.4,5387.9,5514,5585.6,5727.3,5909.3,6080.8,6234.2,6358,6490.1,6562.8,6707.4,6887.7,7025.2,7151.6,7280,7353.6,7531.5,7619.5,7736.7,7874.1,7998.6,8074.6,8209.4,8380.8,8538,8671.8,8796.3,8869.2,9010.2,9182.5,9321,9466.9,9538.4,9686.5,9862.1,10022,10154,10281,10355,10512,10697,10865,11009,11134,11271,11399,11473,11621,11805,11977
280.1,507.43,667.71,867.24,1035.9,1257.6,1478.6,1682.7,1865.1,2035.2,2178,2305.7,2474.1,2603.4,2681.6,2752.7,2906,3074.7,3223.4,3350,3465.1,3533,3685.4,3787.4,3956.2,4087.4,4168.8,4235.7,4415.8,4590.9,4724.4,4842.6,4911.9,5085.5,5189.4,5355.2,5486.9,5569.1,5635.1,5794.7,5966,6121.9,6291.2,6460.5,6544.2,6610,6779.6,6957,7095.1,7224.6,7335.2,7406.9,7575.4,7673.2,7838.2,7970.2,8053.4,8125.2,8280.6,8449.8,8639.2,8767.8,8852.5,8915.9,9083,9253.8,9391.4,9516.8,9585.2,9762.9,9923.6,10128,10256,10335,10409,10584,10759,10908,11066,11240,11375,11454,11524,11694,11871,12039
