i,r,r,i,r,r,r,r,e,e,a,b,r,n,n,a,b,i,i,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a
1061,1307.5,1504.3,1804.8,1978.9,2174.6,2356.8,2543.5,2724.5,2856.2,2980.4,3052.2,3214.6,3395.7,3533.4,3661.7,3738,3888.9,3981.2,4097.6,4232.5,4356,4428.4,4572.7,4753.6,4923,5063.3,5184.9,5316.9,5439.1,5513.5,5675.5,5853,5997.2,6140.1,6210.2,6372.9,6564.5,6628.3,6751.3,6824.1,6994.7,7082.3,7197.8,7337.2,7472.9
1102.3,1369.7,1559.7,1850.2,2039.9,2234.6,2410.9,2598.4,2822.9,2952.7,3034.2,3103.9,3281.3,3465.5,3603,3720.4,3791.3,3935.8,4038.1,4196.6,4331.5,4411.8,4481.4,4640.8,4814,4960.1,5118.3,5285.6,5416.2,5499,5564.3,5743.8,5924,6067.2,6192.8,6270.1,6442.4,6601.8,6675.1,6805.1,6874.9,7034.3,7134.8,7300.3,7430.6,7505.9
