i,i,r,i,r,r,r,r,r,r,r,l,i,i,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r
1296.2,1734.6,1965,2227.2,2403.9,2613.4,2803.5,2998.1,3201.2,3416.7,3603.6,3792.7,3974.3,4142.3,4304.8,4463.9,4642.8,4785.6,4907.1,5045.2,5166.6,5240.8,5405.5,5596.6,5734.5,5865.8,5995.8,6071.2,6216.5,6403,6466.6,6613.3,6683.7,6822.2,6997.9,7132.5,7270.2,7346.7,7494.9,7668.1,7739.5,7874.2,7944.1,8170.2,8263.9,8378.1,8513.6,8631,8709.2,8859.8,9034.9,9173.2,9320.6,9396.4,9563.4,9657.5,9772.6,9911,10038,10111,10294
1341.8,1776.1,2023.2,2270.8,2462.2,2676.6,2861.1,3054.4,3263.7,3472.9,3659.6,3857.3,4014,4190.6,4354.5,4533,4683.7,4845.2,5011.8,5145.8,5223.3,5291,5477.2,5667.3,5808,5934,6054.4,6122,6286,6435.2,6512.1,6664.2,6737.3,6896.3,7067.3,7204.5,7331.3,7403.2,7574.2,7712.6,7783.2,7924.5,7997.8,8216.4,8318.2,8483.7,8610.8,8689.6,8762.5,8927.6,9104,9243.5,9380.2,9450.2,9610,9712.1,9878.7,10017,10091,10160,10369
