b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b
1019.8,1187,1385.3,1559.6,1747.1,1875.2,1996.4,2134.3,2259.7,2334.2,2480.7,2667.1,2806.5,2949,3086.2,3158,3331.9,3426.3,3543.1,3684.7,3813.9,3886.5
1067.2,1257.8,1443.5,1600.6,1786.6,1932.8,2103.6,2232.8,2314.2,2380.3,2547.1,2738.8,2876.9,3017.2,3137.9,3207.6,3372,3483.4,3650.9,3782.6,3869.2,3935.8
