r,r,r,r,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,n,e,e,a,b,r,n,l,e,e,a,b,r,l,i,i,r,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,l,i,i,i,r,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,i,i,l,i,r,e,e,a,b,r,n,n,n,a,b,r
1184.3,1347.3,1528.1,1701.5,1855,1989.6,2113.1,2236.6,2306.1,2482.5,2660.8,2818.1,2953.7,3083.8,3152,3299.6,3496.7,3566.7,3694.9,3764.4,3926.3,4012.2,4123.7,4262.7,4374.4,4449.2,4599.4,4771.6,4911.6,5038.8,5114.2,5305.5,5391,5504.8,5641.9,5763.4,5837.2,5984.2,6157.4,6330.8,6497.4,6634.4,6758.5,6831.5,6977.5,7156.9,7310.3,7483.4,7619.9,7739.4,7876.9,7947.7,8120.1,8283.2,8427.3,8567.6,8636.8,8808.4,8896,9009.5,9150.9,9269.1,9345.4,9507.1,9687.4,9834.4,9976.4,10048,10198,10370,10529,10662,10788,10862,11048,11134,11249,11386,11510,11585,11745,11917,12057,12190,12261,12452,12537,12654,12798,12921,12995,13172,13344,13496,13631,13703,13883,14070,14259,14424,14592,14704,14823,14964,15087,15162,15334,15523,15668,15809,15882,16025,16194,16367,16501,16623,16700,16854,17026,17164,17297,17444,17515,17792,17962,18116,18281,18420,18540,18681,18808,18882,19058,19259,19419,19576,19721,19793,19952
1241.5,1399,1577.3,1751.9,1915.9,2082.2,2208.3,2289.5,2359,2549.7,2729.5,2886.2,3020.8,3135.9,3205.3,3359.4,3536.5,3607.5,3746.4,3811.8,3962.2,4062.3,4224.5,4354.1,4432.9,4499.8,4664.9,4840.1,4980.2,5096.7,5166.6,5345.3,5440.9,5601,5735.8,5818.4,5888.7,6051.2,6227.1,6392,6602.9,6729.9,6810.5,6878.9,7041.3,7213.6,7355.8,7521.7,7675.1,7848.8,7931.1,7998,8176,8350.2,8497,8617.5,8686.2,8849.4,8954.6,9118.6,9248.9,9328.2,9395.9,9580.8,9754.5,9906.8,10028,10099,10268,10427,10630,10756,10846,10915,11087,11187,11353,11485,11566,11634,11811,11985,12128,12242,12316,12494,12595,12761,12900,12978,13047,13242,13417,13568,13679,13754,13959,14128,14296,14459,14638,14760,14928,15062,15142,15212,15406,15597,15739,15863,15937,16096,16255,16470,16599,16681,16750,16914,17098,17236,17368,17496,17569,17832,18004,18178,18328,18479,18640,18784,18863,18933,19129,19329,19492,19648,19774,19846,20018
