i,i,r,r,r,e,e,a,b,r,n,n,b,b,r,v,x,a,b,i,r,e,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,r,l,i,l,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,i,i,i,i
1036.1,1280.7,1464.5,1685.6,1873.8,1988.1,2124,2239.8,2312.6,2489.5,2674.7,2815.3,2964.7,3032,3191.1,3356.8,3416.3,3549.2,3617,3788.5,3875.5,3989.1,4121.2,4250.4,4374,4442.3,4585.5,4771.4,4931.2,5062.8,5188.2,5258.9,5399.6,5569.1,5713.2,5849.3,5918.4,6066,6234.2,6417.9,6590.7,6685.3,6795.8,6932.2,7057.8,7130,7276.4,7456.7,7598.2,7723.9,7794.4,7957.5,8051.3,8162.9,8297.7,8421.8,8494.4,8637.4,8823.5,8965.6,9102,9171.7,9349.4,9440,9550,9683.7,9806.8,9878.3,10039,10314,10496,10682,10841
1073.9,1318.7,1520.1,1741.5,1919.4,2086.9,2221.3,2293.1,2360.9,2553.7,2738.1,2881.8,3011.5,3083.2,3254.4,3386.9,3456.6,3598.1,3664.8,3821.8,3925.1,4087.2,4215,4347.2,4423.8,4492.6,4648,4835.5,5037.2,5160.5,5238.9,5309.4,5464.4,5641.8,5784.8,5898,5970.9,6130.2,6287,6455.4,6634.6,6732.2,6903.4,7031.9,7107.3,7173,7341.7,7526.6,7669.2,7777.9,7847.9,7994.5,8101.6,8270.4,8395,8473,8540.8,8702.9,8894,9031.1,9155.2,9224.2,9389.3,9491.9,9653.2,9782.3,9859.5,9923.8,10102,10353,10536,10715,10884
