i,i,i,l,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,n,e,e,a,b,r,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,l,i,i,i,i,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,i,n,n,e,e,a,b,r,l,i,i,r
1080.2,1245.3,1420.1,1572.3,1739.6,1875.8,1994.3,2141.9,2254.6,2327.4,2470.9,2637.3,2774.1,2911.8,3037.2,3108.9,3273.9,3368.3,3481.8,3618.6,3743.2,3815,3968.2,4135.2,4273.6,4405.6,4477.2,4620.2,4790.7,4852.8,4975.1,5046.8,5238,5325.7,5438.6,5574.2,5700.1,5772.9,5929.6,6097.4,6250.9,6381.2,6453.4,6626.1,6715.9,6829.4,6966.9,7095.1,7168.3,7317,7501.8,7656.8,7795,7867.1,8021.7,8201.2,8385.2,8553.4,8695.1,8813.9,8956.5,9084.9,9159.4,9330.5,9516.8,9682.6,9867.8,10052,10202,10389,10563,10706,10826,10968,11092,11170,11327,11503,11647,11797,11930,12002,12279,12373,12484,12624,12756,12829,13040,13087,13219,13360,13581,13712,13835,13909,14055,14240,14447,14630,14760
1118.2,1282.5,1450.3,1630.4,1773.3,1924.4,2100.9,2230.1,2305.2,2370.3,2534.1,2704.8,2839.5,2983.8,3087.7,3156.1,3310.3,3410.3,3577.3,3711.7,3790.9,3853.1,4027.2,4205.4,4347.2,4452.8,4521.4,4685,4816.4,4889.1,5024.7,5094,5272.5,5376.3,5547.1,5677.2,5754.1,5821.1,5993.1,6166.4,6321.8,6428.6,6502.2,6661.9,6760.2,6936,7067.4,7149.3,7212.8,7385.1,7568.9,7726.6,7849.3,7919.6,8087.5,8261.7,8427.5,8598.8,8750.2,8918.5,9057.6,9137.7,9203.8,9394.3,9588.1,9744.4,9903.1,10085,10239,10434,10610,10757,10930,11070,11152,11218,11393,11573,11717,11868,11983,12054,12318,12418,12588,12732,12811,12872,13084,13110,13291,13430,13685,13802,13888,13960,14123,14298,14493,14668,14819
