l,l,l,l,i,i,r,r,r,r,e,e,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,n
1105.8,1247.6,1412.3,1573.9,1989.9,2185.2,2324.8,2502.8,2674.8,2841.2,2962.2,3103,3221,3298.8,3458.3,3643.8,3789.3,3937.4,4008.8,4146.8,4328.3,4392.2,4519.1,4592.2,4766.8,4854.8,4971.8,5113.5,5240.9,5314.6,5482.3,5662.1,5802.3,5943.7,6082.5,6155,6316.3,6412.7,6531.4,6669,6793.8,6868.9,7026.6,7203.3,7346,7483.4,7603.9,7683.6,7819,7991.8,8162.8,8318.7,8441.3,8581.9,8711.9,8786.3,8991.4,9164,9310.8
1141.3,1306.1,1473.5,1641.2,2040.5,2226.6,2393.5,2565.7,2739.7,2901.5,3069.8,3199,3280.8,3351.5,3538.2,3715.6,3857.6,3993.2,4063.5,4219.2,4364.2,4438.7,4576.5,4647.4,4814.4,4916,5081.4,5213.9,5300,5372.1,5553.9,5728.8,5875.9,6014.4,6138.6,6210.5,6371.6,6468.3,6634.9,6769.8,6851.8,6915.8,7095.3,7276,7419.4,7556.3,7665,7742,7909.4,8054.5,8212.5,8376.7,8553.2,8686.4,8766.6,8840.7,9062.1,9237,9377.5
