l,l,r,r,l,r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,e,e,a,b,r,n,n,a,b,l,r,e,e,a,b,r,l,i,l,e,e,a,b,r,n,n,a,b,r,l,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,e,a,b,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,i,i,i,i,r,e,e,a,b,r,n,n,a,b,r,n,l,e,e,a,b
1575.1,1753.3,1959.8,2166.3,2333.7,2476.2,2688.5,2889.6,3060.6,3206.1,3392.8,3533.3,3655.8,3726.8,3881.5,4046.7,4204,4345.1,4487,4557,4697.7,4874.1,4943.6,5072.1,5141.6,5295.6,5390.8,5501.2,5639.7,5765.5,5838.5,5982.6,6155.1,6313.3,6452.2,6577.3,6649.7,6805.2,6978.9,7134.4,7272.3,7343.2,7524.4,7612.8,7727.8,7863.2,7989.6,8061.6,8200.3,8395.7,8589.5,8756.6,8930.2,9068.2,9196,9269.7,9416.3,9591.1,9734.2,9867.1,9938.7,10073,10249,10436,10574,10698,10772,10925,11100,11240,11369,11442,11613,11786,11980,12133,12252,12387,12521,12646,12723,12870,13053,13199,13324,13460,13534,13675,13857,14045,14219,14317,14429,14568,14697,14770,14932,15132,15301,15432,15566,15640,15790,15975,16169,16311,16435,16511,16666,17097,17279,17457,17630,17796,17914,18054,18179,18255,18408,18587,18744,18882,18958,19104,19299,19475,19650,19790,19913,19990
1626.2,1809.3,2009.3,2217.8,2384.7,2524.3,2739.3,2945,3118.2,3257.1,3496.6,3630.6,3705.2,3776.4,3944.2,4116.3,4268.8,4410.8,4534.4,4605.7,4750.4,4906.7,4979,5119.1,5189.6,5326.8,5430.7,5599.9,5738.9,5814.1,5887.2,6025.5,6224.6,6412,6552.2,6628.8,6699.4,6855.8,7046.7,7200.6,7321.6,7393.8,7548.8,7661,7824.9,7961.4,8039.8,8106.4,8264.9,8452.5,8626.4,8817.6,9038.7,9174.2,9246.6,9314.2,9474.3,9659.8,9800.8,9915.8,9988.8,10134,10302,10540,10674,10750,10818,10991,11169,11308,11420,11493,11682,11844,12013,12187,12347,12484,12613,12703,12773,12931,13124,13268,13395,13512,13587,13748,13914,14085,14263,14365,14529,14656,14746,14813,14997,15199,15366,15504,15618,15691,15850,16022,16274,16409,16490,16556,16732,17144,17322,17494,17664,17849,18029,18159,18229,18299,18475,18656,18815,18934,19007,19170,19366,19531,19750,19881,19967,20037
