l,l,l,l,r,r,r,l,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r,n,e,e,a,b,r,l,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,l,i,r,e,e,a,b,r,n,l,i,i,r,e,e,a,b,r,n,n,a,b,r,l,l,i,i,r,e,e,a,b,r,n,n,n,a,b,r,l,r,l,i,i,r,e,e,a,b,r,n,n,a,b,r,n,l,p,i,i,r,e,e,a,b,r,l,i,i,r,e,e,a,b,r,n,e,e,a,b,r,n
1277.9,1437.7,1622.1,1787.5,1971.1,2156.4,2332.8,2494.6,2633.7,2756.4,2896.6,3023.1,3095.6,3255.7,3435.8,3575.4,3701.5,3824.9,3903.8,4076.8,4249.1,4421,4549.5,4679,4823.7,4955.1,5027.8,5172.2,5390.8,5546.1,5684,5804.9,5881.8,6019.2,6199.5,6362.7,6497.8,6618.7,6757.5,6876.5,6957.7,7095.8,7283.6,7423,7558.9,7631.7,7775.9,7952,8117.3,8245.7,8374.1,8515.7,8637.1,8715.8,8868,9055.1,9223.5,9350.7,9479.4,9618.2,9737.5,9817.5,9985.8,10163,10317,10575,10731,10846,10968,11106,11229,11307,11458,11643,11785,11924,12003,12147,12328,12484,12649,12817,12952,13080,13222,13350,13425,13584,13772,13907,14049,14183,14262,14388,14584,14736,14899,15071,15242,15373,15507,15652,15772,15854,16060,16250,16389,16517,16594,16802,17003,17151,17324,17538,17715,17811,17933,18077,18206,18286,18446,18687,18857,19034,19133,19257,19405,19528,19608,19781,19989,20167,20315,20441,20521,20726,20924
1322.9,1496.9,1685.4,1846,2034.3,2216.5,2396.9,2565.3,2690.4,2864.8,2985.2,3083,3153.9,3340.7,3507.5,3647.2,3776.1,3893.8,3965.4,4163.4,4313.7,4473.4,4614.2,4785.1,4925.6,5014.2,5087,5251.5,5465.8,5651.2,5781.6,5869.9,5940.8,6103.8,6262.6,6413.7,6561,6718.5,6850.5,6942.5,7018.3,7175.6,7356.3,7499.3,7617.6,7689.6,7857.4,8019.5,8165.9,8314.9,8479.2,8618.6,8706,8780.3,8955.2,9119.9,9277.4,9411.2,9584.9,9714.8,9806.6,9875.7,10066,10238,10385,10628,10782,10910,11074,11212,11295,11367,11536,11720,11859,11987,12068,12228,12397,12554,12704,12872,13018,13186,13328,13413,13486,13673,13847,13983,14124,14247,14325,14471,14654,14803,14965,15124,15296,15442,15623,15749,15843,15918,16141,16327,16466,16584,16655,16883,17078,17226,17374,17595,17768,17878,18046,18177,18277,18345,18530,18751,18921,19090,19206,19365,19507,19596,19671,19859,20066,20275,20419,20513,20581,20805,20996
