r,r,r,i,l,e,e,a,b,r,n,n,n,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,r,e,e,a,b,r
1127.8,1298.8,1467.1,1682.2,1837.2,1996.8,2128.7,2249.4,2324.4,2547.2,2730.5,2869.5,3002.7,3138.4,3208.5,3332.5,3502,3656.1,3789.2,3906.9,3983.7,4155.7,4332.4,4479.8,4608.1,4739.7,4809.8,4960.3,5143.2,5283.1,5421.4,5493.6,5649.5,5827.7,5896.8,6013.2,6089.5,6222.6,6310.5,6428,6564.8,6683.8,6758.9,6915.1,7090.1,7226.6,7360.2,7431.9,7591.9,7684.6,7800.6,7936.9,8064.4,8137.2,8312.4,8489.6,8628.8,8762.8,8898.3,8971.1,9101.8,9266.9,9335.3,9460.1,9537.6,9714.1,9810,9927.4,10063,10189,10262,10405,10591,10731,10866,11001,11074,11223,11396,11561,11703,11824,11967,12090,12167,12321
1177.3,1352.8,1523.5,1723.4,1901.1,2096.8,2226.2,2303.1,2374.3,2613.2,2795.9,2939,3068.3,3184.7,3254.8,3401.2,3559.8,3759.5,3887.6,3964.4,4031.8,4227.4,4399.2,4547.7,4678.3,4787,4856.4,5038.2,5211.9,5354.3,5472.5,5542.1,5729.8,5862.1,5933,6073.8,6142.2,6266.1,6362.7,6530.5,6663.8,6740.3,6807.2,6986.7,7159.3,7297.7,7413.1,7480.4,7642.2,7740.7,7908.1,8038.6,8117.7,8185,8386.3,8561.9,8701.1,8835.5,8952.2,9018.8,9175.9,9301.5,9372.3,9521.6,9590.3,9750.2,9865.2,10032,10165,10244,10308,10477,10659,10804,10939,11056,11126,11297,11456,11613,11759,11933,12071,12150,12220,12395
