r,l,i,l,i,r,e,a,b,r,n,n,n,a,b,i,l,e,e,a,b
1017.4,1200.6,1387.5,1557.1,1725.5,1867.6,1988.6,2124.8,2196,2337.5,2503.2,2644.9,2788.3,2914,2986.7,3150.7,3241.5,3353.6,3492.1,3615.4,3685.9
1081.4,1254.9,1424.5,1615.2,1768.5,1923.8,2095.5,2177.3,2248.4,2403.1,2571,2714.5,2858.6,2965.6,3033.2,3186.8,3289.6,3462.3,3591.1,3670.2,3730.3
