i,r,i,r,i,r,e,e,a,b,r,n,n,n,a,b,r,v,x,a,b,i,r,e,e,a,b,r,n,n,n,a,b,r,l,i,i,l,i,r,e,e,a,b,r,n,n,a,b,r,l,l,e,e,a,b,i,l,i,i,i,i,i,r,e,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,l,e,e,a,b,r,n,n,n,a,b,r,l,i,l,i,i,r,e,e,a,b
1039.4,1204.7,1373.8,1496.9,1739,1870.2,1987.8,2129.6,2242.7,2313.5,2511.7,2685.6,2821.2,2960.3,3084.7,3154.7,3295.5,3465.7,3532.9,3653.4,3721.2,3921.3,4007.2,4124,4259.2,4380.7,4451.3,4598,4770,4914.7,5050.2,5181.1,5251.1,5392.6,5569.7,5748.8,5934.5,6092.8,6258.8,6395.1,6512.7,6648.4,6772.9,6844.1,7025.5,7198.5,7337.8,7472.4,7543.2,7670.2,7862.3,7886.4,8039.3,8173,8290.9,8363.5,8654.8,8828.5,8989.3,9150,9312.8,9474.1,9638.1,9763.9,9884,10022,10143,10215,10357,10533,10672,10801,10872,11024,11192,11389,11532,11652,11789,11914,11985,12132,12314,12517,12643,12764,12838,13033,13217,13366,13503,13635,13706,13851,14030,14216,14378,14566,14744,14884,15004,15141,15264,15336
1080.7,1238.6,1410.7,1550,1776.7,1925.6,2091.2,2220.2,2295.8,2359.3,2581.1,2753,2894,3030.3,3135.8,3206.8,3353.4,3497.3,3574.3,3701.3,3766.6,3946.5,4055.4,4232.2,4351.2,4433.9,4499.6,4662.5,4834.6,4980.9,5117.4,5234.1,5302,5458,5624.4,5791,5974.4,6142.1,6297.9,6445.1,6614.9,6749.2,6827.6,6895.2,7095.2,7262.7,7409.2,7522.6,7591.7,7737.3,7885.2,7913.6,8139.7,8270.9,8342.7,8411.8,8696.5,8885.7,9034.4,9188.9,9346.3,9515.9,9678.6,9819.1,9986.5,10122,10197,10264,10421,10600,10744,10851,10922,11086,11247,11428,11588,11757,11885,11969,12031,12199,12367,12609,12741,12816,12883,13104,13284,13437,13570,13689,13759,13919,14085,14253,14439,14618,14792,14938,15108,15239,15320,15386
