l,l,r,r,r,r,r,r,r,l,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,v,x,a,b,i,r,e,a,b,r,l,i,i,i,r,e,e,a,b,r,n,n,a,b,i,r,e,e,a,x,a,b,r,l,l,e,e,a,b,r,n,n,a,b,r,n,n,n,a,b,r,l,l,i,r,e,e,a,b,r,r,n,n,n,a,b,r,l,i,i,r,e,e,a,b
84.994,229.17,401.25,589.61,766.34,943.07,1104.9,1282.1,1463.2,1645.9,1801,1989.2,2118.2,2245.8,2317.8,2502.8,2679.1,2809.7,2937.4,3013,3193.6,3363.9,3498.2,3632.9,3704.7,3856.9,4037.8,4099.8,4220.7,4294.8,4459.8,4548.1,4663.5,4799.3,4869.8,5014.3,5185.2,5343.9,5508.4,5657,5793.2,5910.7,6048.1,6170.9,6243.4,6385.7,6564,6695.4,6832.5,6902.8,7080.8,7169.6,7280.8,7412,7543.2,7644.7,7762.6,7840.4,8010.6,8192.6,8369.4,8527.6,8662.6,8786.6,8858.8,9032.2,9208.3,9339.3,9472.3,9548.7,9717.9,9897.3,10036,10161,10290,10366,10517,10690,10866,11047,11206,11323,11456,11582,11654,11814,12109,12293,12425,12568,12697,12774,12956,13175,13342,13502,13646,13768,13906,14031,14104
157.08,289.63,464.03,654.72,833.77,1012.8,1161.7,1333.7,1521.1,1702.7,1855.6,2085.4,2216.7,2296.4,2365.8,2570.2,2744.3,2878.2,2990.7,3062.8,3265.6,3431.7,3563.8,3685.7,3757.6,3925.7,4064.4,4139.9,4272.8,4343.6,4483.3,4600.5,4761.6,4846,4917.7,5082.1,5233.4,5381.6,5549.3,5705.9,5846.6,6006.7,6140.1,6221.8,6292.7,6453.5,6633.3,6765.9,6882.9,6953.6,7118.2,7219,7385.1,7502.7,7593.6,7680.3,7817.6,7889,8087.4,8248.8,8430.2,8620.1,8765.8,8839.6,8906.9,9103.8,9276,9411.4,9531.5,9601.6,9789.2,9967.3,10109,10231,10346,10416,10586,10746,10926,11082,11260,11420,11551,11635,11702,11887,12182,12360,12495,12637,12756,12829,13034,13228,13391,13553,13703,13871,14007,14082,14149
