l,r,r,r,r,r,l,l,i,r,e,e,a,b,r,n,n,a,b,r,n,e,e,a,b,r,l,i,r,e,a,b,r,n,n,a,b,r,l,l,a,b,i,r,e,e,a,b,r,n,n,a,b,r,n,n,a,b,r,l,i,r,e,a,b,r,n,n,a,b,r,l,i,r,e,e,a,b,r,n,e,e,a,b
1109,1255.9,1434.5,1610.5,1786,1958.1,2158.6,2308.9,2468.6,2600.3,2719.6,2856.1,2973.8,3050.8,3197.8,3358,3493.8,3623,3699.6,3838.6,4010.8,4160.3,4296.3,4422.4,4494.9,4647.2,4855.3,5009.1,5142.2,5261.7,5396.5,5470.3,5617.2,5794.9,5932.7,6058.9,6136.3,6278.3,6438.9,6517,6640.2,6710.6,6845,6941.5,7058.4,7198.2,7319,7395.8,7542.8,7717.6,7870.9,8013.8,8085.5,8227.4,8398.7,8534.6,8665.4,8742.5,8882.7,9054.5,9207.1,9351.9,9471.2,9597.3,9675.9,9835.2,10009,10151,10280,10360,10527,10705,10888,11032,11155,11300,11422,11502,11661,11837,11997,12131,12255,12334
1162.5,1310.6,1490.8,1670.4,1845.3,2016.1,2220.6,2371.8,2505.9,2655.6,2824.7,2956.6,3034,3102.3,3264.3,3431.9,3567.5,3679.3,3750.9,3909,4082.4,4263.2,4401.4,4477.2,4548.3,4719.3,4910.8,5051.3,5197.7,5366.3,5453,5521.6,5680.5,5866.6,6006.5,6117.9,6188.4,6336.8,6486.4,6551.9,6692,6760.8,6888.8,6994.7,7164.2,7298.5,7380.2,7444.9,7610.8,7787.6,7945.2,8063.8,8139.7,8295.3,8468.6,8609,8719.7,8793.7,8950.5,9110.4,9255.8,9407.3,9575.9,9656.9,9728.3,9904.4,10084,10223,10341,10412,10599,10760,10935,11088,11261,11399,11479,11557,11733,11911,12100,12226,12316,12386
